"","Technique","model","category","accuracy","precision","recall","f1"
"65","Active Prompting_APO10","GPT-3.5","confusion",0.2,0.25,0.2,0.222222222222222
"66","Active Prompting_APO10","GPT-3.5","curiosity",0,0,0,NA
"67","Active Prompting_APO10","GPT-3.5","desire",0,NA,0,NA
"68","Active Prompting_APO10","GPT-3.5","disappointment",0,0,0,NA
"69","Active Prompting_APO10","GPT-3.5","disapproval",0,0,0,NA
"70","Active Prompting_APO10","GPT-3.5","disgust",0.2,0.25,0.2,0.222222222222222
"71","Active Prompting_APO10","GPT-3.5","embarrassment",0,NA,0,NA
"72","Active Prompting_APO10","GPT-3.5","excitement",0.2,1,0.2,0.333333333333333
"73","Active Prompting_APO10","GPT-3.5","fear",0,0,0,NA
"74","Active Prompting_APO10","GPT-3.5","gratitude",0.4,1,0.4,0.571428571428572
"75","Active Prompting_APO10","GPT-3.5","grief",0,NA,0,NA
"76","Active Prompting_APO10","GPT-3.5","joy",0.2,0.2,0.2,0.2
"77","Active Prompting_APO10","GPT-3.5","love",0.2,1,0.2,0.333333333333333
"78","Active Prompting_APO10","GPT-3.5","nervousness",0,NA,0,NA
"79","Active Prompting_APO10","GPT-3.5","neutral",0.2,0.25,0.2,0.222222222222222
"80","Active Prompting_APO10","GPT-3.5","optimism",0,0,0,NA
"81","Active Prompting_APO10","GPT-3.5","pride",0,NA,0,NA
"82","Active Prompting_APO10","GPT-3.5","realization",0,0,0,NA
"83","Active Prompting_APO10","GPT-3.5","relief",0,NA,0,NA
"84","Active Prompting_APO10","GPT-3.5","remorse",0.2,1,0.2,0.333333333333333
"85","Active Prompting_APO10","GPT-3.5","sadness",0.4,0.5,0.4,0.444444444444444
"86","Active Prompting_APO10","GPT-3.5","surprise",0.2,1,0.2,0.333333333333333
"87","Active Prompting_APO10","GPT-3.5","multiclass",0.2,0.0568181818181818,1,0.10752688172043
"88","Active Prompting_APO10","GPT-5","admiration",0,0,0,NA
"89","Active Prompting_APO10","GPT-5","amusement",0.5,0.333333333333333,0.5,0.4
"90","Active Prompting_APO10","GPT-5","anger",0,NA,0,NA
"91","Active Prompting_APO10","GPT-5","annoyance",0,0,0,NA
"92","Active Prompting_APO10","GPT-5","approval",0,0,0,NA
"93","Active Prompting_APO10","GPT-5","caring",0.2,1,0.2,0.333333333333333
"94","Active Prompting_APO10","GPT-5","confusion",0.2,0.333333333333333,0.2,0.25
"95","Active Prompting_APO10","GPT-5","curiosity",0,0,0,NA
"96","Active Prompting_APO10","GPT-5","desire",0.2,1,0.2,0.333333333333333
"97","Active Prompting_APO10","GPT-5","disappointment",0,0,0,NA
"98","Active Prompting_APO10","GPT-5","disapproval",0,0,0,NA
"99","Active Prompting_APO10","GPT-5","disgust",0,0,0,NA
"100","Active Prompting_APO10","GPT-5","embarrassment",0,NA,0,NA
"101","Active Prompting_APO10","GPT-5","excitement",0.4,0.666666666666667,0.4,0.5
"102","Active Prompting_APO10","GPT-5","fear",0.2,0.5,0.2,0.285714285714286
"103","Active Prompting_APO10","GPT-5","gratitude",0.6,0.75,0.6,0.666666666666667
"104","Active Prompting_APO10","GPT-5","grief",0,NA,0,NA
"105","Active Prompting_APO10","GPT-5","joy",0,NA,0,NA
"106","Active Prompting_APO10","GPT-5","love",0.4,0.5,0.4,0.444444444444444
"107","Active Prompting_APO10","GPT-5","nervousness",0,NA,0,NA
"108","Active Prompting_APO10","GPT-5","neutral",0,0,0,NA
"109","Active Prompting_APO10","GPT-5","optimism",0.2,0.5,0.2,0.285714285714286
"110","Active Prompting_APO10","GPT-5","pride",0,NA,0,NA
"111","Active Prompting_APO10","GPT-5","realization",0.2,0.25,0.2,0.222222222222222
"112","Active Prompting_APO10","GPT-5","relief",0,NA,0,NA
"113","Active Prompting_APO10","GPT-5","remorse",0.2,1,0.2,0.333333333333333
"114","Active Prompting_APO10","GPT-5","sadness",0.4,1,0.4,0.571428571428572
"115","Active Prompting_APO10","GPT-5","surprise",0.2,0.333333333333333,0.2,0.25
"116","Active Prompting_APO10","GPT-5","multiclass",0,0.032967032967033,0.6,0.0625
"117","Active Prompting_APO20","GPT-3.5","admiration",0.333333333333333,0.5,0.333333333333333,0.4
"118","Active Prompting_APO20","GPT-3.5","amusement",0.333333333333333,0.4,0.333333333333333,0.363636363636364
"119","Active Prompting_APO20","GPT-3.5","anger",0.333333333333333,0.5,0.333333333333333,0.4
"120","Active Prompting_APO20","GPT-3.5","annoyance",0,0,0,NA
"121","Active Prompting_APO20","GPT-3.5","approval",0,0,0,NA
"122","Active Prompting_APO20","GPT-3.5","caring",0.2,0.5,0.2,0.285714285714286
"123","Active Prompting_APO20","GPT-3.5","confusion",0.2,0.333333333333333,0.2,0.25
"124","Active Prompting_APO20","GPT-3.5","curiosity",0.2,0.333333333333333,0.2,0.25
"125","Active Prompting_APO20","GPT-3.5","desire",0,NA,0,NA
"126","Active Prompting_APO20","GPT-3.5","disappointment",0,0,0,NA
"127","Active Prompting_APO20","GPT-3.5","disapproval",0.2,0.2,0.2,0.2
"128","Active Prompting_APO20","GPT-3.5","disgust",0.2,0.5,0.2,0.285714285714286
"129","Active Prompting_APO20","GPT-3.5","embarrassment",0,NA,0,NA
"130","Active Prompting_APO20","GPT-3.5","excitement",0.4,1,0.4,0.571428571428572
"131","Active Prompting_APO20","GPT-3.5","fear",0.2,0.5,0.2,0.285714285714286
"132","Active Prompting_APO20","GPT-3.5","gratitude",0.6,0.75,0.6,0.666666666666667
"133","Active Prompting_APO20","GPT-3.5","grief",0.2,1,0.2,0.333333333333333
"134","Active Prompting_APO20","GPT-3.5","joy",0.2,0.2,0.2,0.2
"135","Active Prompting_APO20","GPT-3.5","love",0,NA,0,NA
"136","Active Prompting_APO20","GPT-3.5","nervousness",0,NA,0,NA
"137","Active Prompting_APO20","GPT-3.5","neutral",0,0,0,NA
"138","Active Prompting_APO20","GPT-3.5","optimism",0,0,0,NA
"139","Active Prompting_APO20","GPT-3.5","pride",0,NA,0,NA
"140","Active Prompting_APO20","GPT-3.5","realization",0.2,0.5,0.2,0.285714285714286
"141","Active Prompting_APO20","GPT-3.5","relief",0,NA,0,NA
"142","Active Prompting_APO20","GPT-3.5","remorse",0.2,1,0.2,0.333333333333333
"143","Active Prompting_APO20","GPT-3.5","sadness",0.6,0.5,0.6,0.545454545454545
"144","Active Prompting_APO20","GPT-3.5","surprise",0.2,1,0.2,0.333333333333333
"145","Active Prompting_APO20","GPT-3.5","multiclass",0.2,0.0588235294117647,1,0.111111111111111
"146","Active Prompting_APO20","GPT-5","admiration",0,NA,0,NA
"147","Active Prompting_APO20","GPT-5","amusement",0.5,0.272727272727273,0.5,0.352941176470588
"148","Active Prompting_APO20","GPT-5","anger",0,NA,0,NA
"149","Active Prompting_APO20","GPT-5","annoyance",0,0,0,NA
"150","Active Prompting_APO20","GPT-5","approval",0,0,0,NA
"151","Active Prompting_APO20","GPT-5","caring",0.2,1,0.2,0.333333333333333
"152","Active Prompting_APO20","GPT-5","confusion",0.2,1,0.2,0.333333333333333
"153","Active Prompting_APO20","GPT-5","curiosity",0,0,0,NA
"154","Active Prompting_APO20","GPT-5","desire",0.2,1,0.2,0.333333333333333
"155","Active Prompting_APO20","GPT-5","disappointment",0,0,0,NA
"156","Active Prompting_APO20","GPT-5","disapproval",0,0,0,NA
"157","Active Prompting_APO20","GPT-5","disgust",0.2,0.5,0.2,0.285714285714286
"158","Active Prompting_APO20","GPT-5","embarrassment",0,0,0,NA
"159","Active Prompting_APO20","GPT-5","excitement",0.4,1,0.4,0.571428571428572
"160","Active Prompting_APO20","GPT-5","fear",0.2,0.5,0.2,0.285714285714286
"161","Active Prompting_APO20","GPT-5","gratitude",0.4,0.666666666666667,0.4,0.5
"162","Active Prompting_APO20","GPT-5","grief",0,NA,0,NA
"163","Active Prompting_APO20","GPT-5","joy",0,NA,0,NA
"164","Active Prompting_APO20","GPT-5","love",0.2,0.333333333333333,0.2,0.25
"165","Active Prompting_APO20","GPT-5","nervousness",0,NA,0,NA
"166","Active Prompting_APO20","GPT-5","neutral",0,0,0,NA
"167","Active Prompting_APO20","GPT-5","optimism",0,0,0,NA
"168","Active Prompting_APO20","GPT-5","pride",0,NA,0,NA
"169","Active Prompting_APO20","GPT-5","realization",0.2,0.333333333333333,0.2,0.25
"170","Active Prompting_APO20","GPT-5","relief",0,NA,0,NA
"171","Active Prompting_APO20","GPT-5","remorse",0,NA,0,NA
"172","Active Prompting_APO20","GPT-5","sadness",0.6,1,0.6,0.75
"173","Active Prompting_APO20","GPT-5","surprise",0.6,0.6,0.6,0.6
"174","Active Prompting_APO20","GPT-5","multiclass",0,0.0123456790123457,0.2,0.0232558139534884
"175","Active Prompting_APO50","GPT-3.5","admiration",0.166666666666667,0.333333333333333,0.166666666666667,0.222222222222222
"176","Active Prompting_APO50","GPT-3.5","amusement",0.333333333333333,0.4,0.333333333333333,0.363636363636364
"177","Active Prompting_APO50","GPT-3.5","anger",0.166666666666667,0.333333333333333,0.166666666666667,0.222222222222222
"178","Active Prompting_APO50","GPT-3.5","annoyance",0,0,0,NA
"179","Active Prompting_APO50","GPT-3.5","approval",0,0,0,NA
"180","Active Prompting_APO50","GPT-3.5","caring",0.4,0.666666666666667,0.4,0.5
"181","Active Prompting_APO50","GPT-3.5","confusion",0.2,0.2,0.2,0.2
"182","Active Prompting_APO50","GPT-3.5","curiosity",0,0,0,NA
"183","Active Prompting_APO50","GPT-3.5","desire",0,NA,0,NA
"184","Active Prompting_APO50","GPT-3.5","disappointment",0,0,0,NA
"185","Active Prompting_APO50","GPT-3.5","disapproval",0,0,0,NA
"186","Active Prompting_APO50","GPT-3.5","disgust",0,NA,0,NA
"187","Active Prompting_APO50","GPT-3.5","embarrassment",0,NA,0,NA
"188","Active Prompting_APO50","GPT-3.5","excitement",0.2,1,0.2,0.333333333333333
"189","Active Prompting_APO50","GPT-3.5","fear",0,0,0,NA
"190","Active Prompting_APO50","GPT-3.5","gratitude",0.6,1,0.6,0.75
"191","Active Prompting_APO50","GPT-3.5","grief",0.2,1,0.2,0.333333333333333
"192","Active Prompting_APO50","GPT-3.5","joy",0.2,0.333333333333333,0.2,0.25
"193","Active Prompting_APO50","GPT-3.5","love",0,0,0,NA
"194","Active Prompting_APO50","GPT-3.5","nervousness",0,NA,0,NA
"195","Active Prompting_APO50","GPT-3.5","neutral",0,0,0,NA
"196","Active Prompting_APO50","GPT-3.5","optimism",0,NA,0,NA
"197","Active Prompting_APO50","GPT-3.5","pride",0,NA,0,NA
"198","Active Prompting_APO50","GPT-3.5","realization",0,NA,0,NA
"199","Active Prompting_APO50","GPT-3.5","relief",0,NA,0,NA
"200","Active Prompting_APO50","GPT-3.5","remorse",0.2,1,0.2,0.333333333333333
"201","Active Prompting_APO50","GPT-3.5","sadness",0.4,0.333333333333333,0.4,0.363636363636364
"202","Active Prompting_APO50","GPT-3.5","surprise",0.4,0.666666666666667,0.4,0.5
"203","Active Prompting_APO50","GPT-3.5","multiclass",0.2,0.0444444444444444,0.8,0.0842105263157895
"204","Active Prompting_APO50","GPT-5","admiration",0.166666666666667,0.5,0.166666666666667,0.25
"205","Active Prompting_APO50","GPT-5","amusement",0.5,0.3,0.5,0.375
"206","Active Prompting_APO50","GPT-5","anger",0,NA,0,NA
"207","Active Prompting_APO50","GPT-5","annoyance",0,0,0,NA
"208","Active Prompting_APO50","GPT-5","approval",0,0,0,NA
"209","Active Prompting_APO50","GPT-5","caring",0.2,1,0.2,0.333333333333333
"210","Active Prompting_APO50","GPT-5","confusion",0.2,0.333333333333333,0.2,0.25
"211","Active Prompting_APO50","GPT-5","curiosity",0.4,0.5,0.4,0.444444444444444
"212","Active Prompting_APO50","GPT-5","desire",0.2,1,0.2,0.333333333333333
"213","Active Prompting_APO50","GPT-5","disappointment",0.2,0.5,0.2,0.285714285714286
"214","Active Prompting_APO50","GPT-5","disapproval",0,0,0,NA
"215","Active Prompting_APO50","GPT-5","disgust",0.2,0.5,0.2,0.285714285714286
"216","Active Prompting_APO50","GPT-5","embarrassment",0,NA,0,NA
"217","Active Prompting_APO50","GPT-5","excitement",0.4,1,0.4,0.571428571428572
"218","Active Prompting_APO50","GPT-5","fear",0.2,0.333333333333333,0.2,0.25
"219","Active Prompting_APO50","GPT-5","gratitude",0.4,0.666666666666667,0.4,0.5
"220","Active Prompting_APO50","GPT-5","grief",0,NA,0,NA
"221","Active Prompting_APO50","GPT-5","joy",0,NA,0,NA
"222","Active Prompting_APO50","GPT-5","love",0.4,0.5,0.4,0.444444444444444
"223","Active Prompting_APO50","GPT-5","nervousness",0,NA,0,NA
"224","Active Prompting_APO50","GPT-5","neutral",0,0,0,NA
"225","Active Prompting_APO50","GPT-5","optimism",0.2,0.25,0.2,0.222222222222222
"226","Active Prompting_APO50","GPT-5","pride",0,NA,0,NA
"227","Active Prompting_APO50","GPT-5","realization",0.2,0.25,0.2,0.222222222222222
"228","Active Prompting_APO50","GPT-5","relief",0,NA,0,NA
"229","Active Prompting_APO50","GPT-5","remorse",0,NA,0,NA
"230","Active Prompting_APO50","GPT-5","sadness",0.6,1,0.6,0.75
"231","Active Prompting_APO50","GPT-5","surprise",0.2,0.25,0.2,0.222222222222222
"232","Active Prompting_APO50","GPT-5","multiclass",0,0.0365853658536585,0.6,0.0689655172413793
"233","Auto-CoT","GPT-3.5","admiration",0.5,0.272727272727273,0.5,0.352941176470588
"234","Auto-CoT","GPT-3.5","amusement",0.5,0.166666666666667,0.5,0.25
"235","Auto-CoT","GPT-3.5","anger",0.5,0.428571428571429,0.5,0.461538461538462
"236","Auto-CoT","GPT-3.5","annoyance",0.166666666666667,0.0625,0.166666666666667,0.0909090909090909
"237","Auto-CoT","GPT-3.5","approval",0,0,0,NA
"238","Auto-CoT","GPT-3.5","caring",0,0,0,NA
"239","Auto-CoT","GPT-3.5","confusion",0.2,0.166666666666667,0.2,0.181818181818182
"240","Auto-CoT","GPT-3.5","curiosity",0.2,0.25,0.2,0.222222222222222
"241","Auto-CoT","GPT-3.5","desire",0,NA,0,NA
"242","Auto-CoT","GPT-3.5","disappointment",0.2,0.2,0.2,0.2
"243","Auto-CoT","GPT-3.5","disapproval",0.6,0.15,0.6,0.24
"244","Auto-CoT","GPT-3.5","disgust",0.4,0.222222222222222,0.4,0.285714285714286
"245","Auto-CoT","GPT-3.5","embarrassment",0,0,0,NA
"246","Auto-CoT","GPT-3.5","excitement",0.4,0.4,0.4,0.4
"247","Auto-CoT","GPT-3.5","fear",0,0,0,NA
"248","Auto-CoT","GPT-3.5","gratitude",0.8,1,0.8,0.888888888888889
"249","Auto-CoT","GPT-3.5","grief",0,NA,0,NA
"250","Auto-CoT","GPT-3.5","joy",0.2,0.5,0.2,0.285714285714286
"251","Auto-CoT","GPT-3.5","love",0.4,0.666666666666667,0.4,0.5
"252","Auto-CoT","GPT-3.5","nervousness",0,NA,0,NA
"253","Auto-CoT","GPT-3.5","neutral",0,0,0,NA
"254","Auto-CoT","GPT-3.5","optimism",0.2,0.25,0.2,0.222222222222222
"255","Auto-CoT","GPT-3.5","pride",0.2,1,0.2,0.333333333333333
"256","Auto-CoT","GPT-3.5","realization",0.2,0.5,0.2,0.285714285714286
"257","Auto-CoT","GPT-3.5","relief",0,NA,0,NA
"258","Auto-CoT","GPT-3.5","remorse",0.4,1,0.4,0.571428571428572
"259","Auto-CoT","GPT-3.5","sadness",0.6,0.333333333333333,0.6,0.428571428571429
"260","Auto-CoT","GPT-3.5","surprise",0.4,0.666666666666667,0.4,0.5
"261","Auto-CoT","GPT-3.5","multiclass",0,0,0,NA
"262","Auto-CoT","GPT-5","admiration",0.333333333333333,1,0.333333333333333,0.5
"263","Auto-CoT","GPT-5","amusement",0.666666666666667,0.307692307692308,0.666666666666667,0.421052631578947
"264","Auto-CoT","GPT-5","anger",0,NA,0,NA
"265","Auto-CoT","GPT-5","annoyance",0,0,0,NA
"266","Auto-CoT","GPT-5","approval",0,0,0,NA
"267","Auto-CoT","GPT-5","caring",0.2,0.333333333333333,0.2,0.25
"268","Auto-CoT","GPT-5","confusion",0.2,0.333333333333333,0.2,0.25
"269","Auto-CoT","GPT-5","curiosity",0.2,0.25,0.2,0.222222222222222
"270","Auto-CoT","GPT-5","desire",0.2,1,0.2,0.333333333333333
"271","Auto-CoT","GPT-5","disappointment",0,0,0,NA
"272","Auto-CoT","GPT-5","disapproval",0,0,0,NA
"273","Auto-CoT","GPT-5","disgust",0.2,0.5,0.2,0.285714285714286
"274","Auto-CoT","GPT-5","embarrassment",0,0,0,NA
"275","Auto-CoT","GPT-5","excitement",0.2,0.5,0.2,0.285714285714286
"276","Auto-CoT","GPT-5","fear",0.2,0.5,0.2,0.285714285714286
"277","Auto-CoT","GPT-5","gratitude",0.4,0.5,0.4,0.444444444444444
"278","Auto-CoT","GPT-5","grief",0,NA,0,NA
"279","Auto-CoT","GPT-5","joy",0,NA,0,NA
"280","Auto-CoT","GPT-5","love",0.2,0.333333333333333,0.2,0.25
"281","Auto-CoT","GPT-5","nervousness",0,NA,0,NA
"282","Auto-CoT","GPT-5","neutral",0,0,0,NA
"283","Auto-CoT","GPT-5","optimism",0,0,0,NA
"284","Auto-CoT","GPT-5","pride",0,NA,0,NA
"285","Auto-CoT","GPT-5","realization",0.2,0.25,0.2,0.222222222222222
"286","Auto-CoT","GPT-5","relief",0,NA,0,NA
"287","Auto-CoT","GPT-5","remorse",0.2,1,0.2,0.333333333333333
"288","Auto-CoT","GPT-5","sadness",0.6,0.75,0.6,0.666666666666667
"289","Auto-CoT","GPT-5","surprise",0.6,0.5,0.6,0.545454545454545
"290","Auto-CoT","GPT-5","multiclass",0,0.0408163265306122,0.4,0.0740740740740741
"291","Auto-CoT_APO10","GPT-3.5","admiration",0.5,0.272727272727273,0.5,0.352941176470588
"292","Auto-CoT_APO10","GPT-3.5","amusement",0.5,0.157894736842105,0.5,0.24
"293","Auto-CoT_APO10","GPT-3.5","anger",0.5,0.428571428571429,0.5,0.461538461538462
"294","Auto-CoT_APO10","GPT-3.5","annoyance",0.166666666666667,0.0714285714285714,0.166666666666667,0.1
"295","Auto-CoT_APO10","GPT-3.5","approval",0,0,0,NA
"296","Auto-CoT_APO10","GPT-3.5","caring",0.2,0.333333333333333,0.2,0.25
"297","Auto-CoT_APO10","GPT-3.5","confusion",0.2,0.166666666666667,0.2,0.181818181818182
"298","Auto-CoT_APO10","GPT-3.5","curiosity",0.2,0.25,0.2,0.222222222222222
"299","Auto-CoT_APO10","GPT-3.5","desire",0,NA,0,NA
"300","Auto-CoT_APO10","GPT-3.5","disappointment",0.2,0.2,0.2,0.2
"301","Auto-CoT_APO10","GPT-3.5","disapproval",0.6,0.15,0.6,0.24
"302","Auto-CoT_APO10","GPT-3.5","disgust",0.4,0.2,0.4,0.266666666666667
"303","Auto-CoT_APO10","GPT-3.5","embarrassment",0,0,0,NA
"304","Auto-CoT_APO10","GPT-3.5","excitement",0.4,0.4,0.4,0.4
"305","Auto-CoT_APO10","GPT-3.5","fear",0,0,0,NA
"306","Auto-CoT_APO10","GPT-3.5","gratitude",0.8,1,0.8,0.888888888888889
"307","Auto-CoT_APO10","GPT-3.5","grief",0,NA,0,NA
"308","Auto-CoT_APO10","GPT-3.5","joy",0.2,0.5,0.2,0.285714285714286
"309","Auto-CoT_APO10","GPT-3.5","love",0.2,0.5,0.2,0.285714285714286
"310","Auto-CoT_APO10","GPT-3.5","nervousness",0,NA,0,NA
"311","Auto-CoT_APO10","GPT-3.5","neutral",0,0,0,NA
"312","Auto-CoT_APO10","GPT-3.5","optimism",0.2,0.25,0.2,0.222222222222222
"313","Auto-CoT_APO10","GPT-3.5","pride",0.2,1,0.2,0.333333333333333
"314","Auto-CoT_APO10","GPT-3.5","realization",0.2,0.5,0.2,0.285714285714286
"315","Auto-CoT_APO10","GPT-3.5","relief",0,NA,0,NA
"316","Auto-CoT_APO10","GPT-3.5","remorse",0.4,1,0.4,0.571428571428572
"317","Auto-CoT_APO10","GPT-3.5","sadness",0.6,0.333333333333333,0.6,0.428571428571429
"318","Auto-CoT_APO10","GPT-3.5","surprise",0.4,0.666666666666667,0.4,0.5
"319","Auto-CoT_APO10","GPT-3.5","multiclass",0,0,0,NA
"320","Auto-CoT_APO10","GPT-5","admiration",0.333333333333333,0.666666666666667,0.333333333333333,0.444444444444444
"321","Auto-CoT_APO10","GPT-5","amusement",0.5,0.25,0.5,0.333333333333333
"322","Auto-CoT_APO10","GPT-5","anger",0.166666666666667,1,0.166666666666667,0.285714285714286
"323","Auto-CoT_APO10","GPT-5","annoyance",0.166666666666667,0.125,0.166666666666667,0.142857142857143
"324","Auto-CoT_APO10","GPT-5","approval",0,0,0,NA
"325","Auto-CoT_APO10","GPT-5","caring",0.2,0.5,0.2,0.285714285714286
"326","Auto-CoT_APO10","GPT-5","confusion",0.2,0.333333333333333,0.2,0.25
"327","Auto-CoT_APO10","GPT-5","curiosity",0.4,0.5,0.4,0.444444444444444
"328","Auto-CoT_APO10","GPT-5","desire",0.2,1,0.2,0.333333333333333
"329","Auto-CoT_APO10","GPT-5","disappointment",0,0,0,NA
"330","Auto-CoT_APO10","GPT-5","disapproval",0.4,0.125,0.4,0.19047619047619
"331","Auto-CoT_APO10","GPT-5","disgust",0.2,0.5,0.2,0.285714285714286
"332","Auto-CoT_APO10","GPT-5","embarrassment",0,0,0,NA
"333","Auto-CoT_APO10","GPT-5","excitement",0.2,0.5,0.2,0.285714285714286
"334","Auto-CoT_APO10","GPT-5","fear",0.2,0.5,0.2,0.285714285714286
"335","Auto-CoT_APO10","GPT-5","gratitude",0.6,0.6,0.6,0.6
"336","Auto-CoT_APO10","GPT-5","grief",0,NA,0,NA
"337","Auto-CoT_APO10","GPT-5","joy",0,NA,0,NA
"338","Auto-CoT_APO10","GPT-5","love",0.2,0.5,0.2,0.285714285714286
"339","Auto-CoT_APO10","GPT-5","nervousness",0,NA,0,NA
"340","Auto-CoT_APO10","GPT-5","neutral",0,0,0,NA
"341","Auto-CoT_APO10","GPT-5","optimism",0,0,0,NA
"342","Auto-CoT_APO10","GPT-5","pride",0,NA,0,NA
"343","Auto-CoT_APO10","GPT-5","realization",0.2,0.25,0.2,0.222222222222222
"344","Auto-CoT_APO10","GPT-5","relief",0,NA,0,NA
"345","Auto-CoT_APO10","GPT-5","remorse",0.2,1,0.2,0.333333333333333
"346","Auto-CoT_APO10","GPT-5","sadness",0.6,1,0.6,0.75
"347","Auto-CoT_APO10","GPT-5","surprise",0.6,0.5,0.6,0.545454545454545
"348","Auto-CoT_APO10","GPT-5","multiclass",0,0.0208333333333333,0.2,0.0377358490566038
"349","Auto-CoT_APO20","GPT-3.5","admiration",0.5,0.272727272727273,0.5,0.352941176470588
"350","Auto-CoT_APO20","GPT-3.5","amusement",0.5,0.157894736842105,0.5,0.24
"351","Auto-CoT_APO20","GPT-3.5","anger",0.5,0.428571428571429,0.5,0.461538461538462
"352","Auto-CoT_APO20","GPT-3.5","annoyance",0.166666666666667,0.0625,0.166666666666667,0.0909090909090909
"353","Auto-CoT_APO20","GPT-3.5","approval",0,0,0,NA
