"","exchange_idx","student_text","teacher_text","ground_truth","prediction","correct","Technique","model"
"28",28,"Wow, N is doing a good job.","I’m going to leave part of this as a template for you for your own paper.  We are going to take some","Low","Low","True","Zero-shot","GPT-3.5"
"29",29,"How does that look like a 10?","All right, so now we have to do our coordinates and let’s put our parentheses in.  You will get to t","Low","Low","True","Zero-shot","GPT-3.5"
"30",30,"Say the multiplication tables for the number 8.","Ready, set, go.","Low","Low","True","Zero-shot","GPT-3.5"
"31",31,"Oh, that’s what we’re doing.","And over here red, green.","Low","Low","True","Zero-shot","GPT-3.5"
"32",32,"You subtract all of them.","What did I do to get the quotient?","Low","Low","True","Zero-shot","GPT-3.5"
"33",33,"He thinks it goes from one-half and it keeps on going until it gets to smaller pieces, smaller.  We’","So what do you need from me?","Low","High","False","Zero-shot","GPT-3.5"
"34",34,"What did we get for number 12?","Yeah.","Low","Low","True","Zero-shot","GPT-3.5"
"35",35,"The person who did the wrong one, they did 50 times 3 when they were supposed to do 50 times 24.","So I’m thinking that we need a way to keep track of our work, that everybody who’s having their prob","Low","High","False","Zero-shot","GPT-3.5"
"36",36,"A number that can’t go lower–","What are the only two numbers that can go into a prime number, Student O?","Low","Low","True","Zero-shot","GPT-3.5"
"37",37,"Wait, what were the names?","But you’re going to have to think of the rule that will help that work because you’re going to have ","Low","Low","True","Zero-shot","GPT-3.5"
"38",38,"The first step is 8 times 10.","Who can give me a story context for 18 times 14?  Just like we talked about here, 3 trees, 9 apples.","Low","Low","True","Zero-shot","GPT-3.5"
"39",39,"Because the base of it is a hexagon.","Student K?","Low","High","False","Zero-shot","GPT-3.5"
"40",40,"I know some of it.","And we can also study the two multiplication problems, 11 times 11 and 11 times 12.  That’s a little","Low","Mid","False","Zero-shot","GPT-3.5"
"41",41,"So you take away Tino’s and you multiply Val’s?","Every single time that we did – we did this times – well, we changed this up so much.  When we did t","Low","Mid","False","Zero-shot","GPT-3.5"
"42",42,"130 – I think it’s 130.","So what’s the question?","Low","Low","True","Zero-shot","GPT-3.5"
"43",43,"Area of a parallelogram is base times height.","Area of a, and I’m sorry, my drawings aren’t too great today. Especially that one.","Low","Low","True","Zero-shot","GPT-3.5"
"44",44,"Is this like this?  Is it multiplied by [four]?","Hmm?","Low","Low","True","Zero-shot","GPT-3.5"
"45",45,"[As soon as] she puts 300, two times.","Okay, so this, Student N, about trying to keep track of your pieces.  In the array here, I’m gonna s","Low","Mid","False","Zero-shot","GPT-3.5"
"46",46,"The rule is to add three to the input.","I don’t hearing sharing at this table yet.  You have to share. Let’s go.  Quickly.  You got by 11.  ","Low","Low","True","Zero-shot","GPT-3.5"
"47",47,"I got 36 cubic centimeters.","Number five, Student M?","Low","Low","True","Zero-shot","GPT-3.5"
"48",48,"Subtract the whole numbers.  That’ll give you 1.  I think you multiply the fraction –","Wait a minute.","Low","Low","True","Zero-shot","GPT-3.5"
"49",49,"The weeks in a year.","What else should you round?","Low","Low","True","Zero-shot","GPT-3.5"
"50",50,"He as gonna spell the full name.","It’s not exactly see how it’s like in the middle your ordered pair has to be exactly on the corner, ","Low","Low","True","Zero-shot","GPT-3.5"
"51",51,"4 times 2 times 3 equals blank.","Blank.  That’s right.  That’s your number sentence.","Mid","High","False","Zero-shot","GPT-3.5"
"52",52,"Because 12 inches equals 1 foot.","Excellent.  So we really started talking about measurement.  In addition to that – this table – Stud","Mid","Low","False","Zero-shot","GPT-3.5"
"53",53,"We did 40 times 30.","Student J did 40 times –","Mid","Low","False","Zero-shot","GPT-3.5"
"54",54,"So 95, that’s Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday.","Okay.  What’s the question?","Mid","Low","False","Zero-shot","GPT-3.5"
"55",55,"– it says like it’s a segment that goes through the center to another edge?","Mm-hmm.","Mid","Mid","True","Zero-shot","GPT-3.5"
"56",56,"Like, it has two pairs of parallel sides or congruent sides.","Right, exactly.  And, you know, beware.  You know, this trapezoid, you know, stole candy out of my b","Mid","Low","False","Zero-shot","GPT-3.5"
"57",57,"Six times six times two.","For what?","Mid","Low","False","Zero-shot","GPT-3.5"
"58",58,"Well I lined all the numbers up.","All right, read it for me.","Mid","High","False","Zero-shot","GPT-3.5"
"59",59,"Four fifths – no, 80 percent.","How come you can’t put it there?","Mid","Low","False","Zero-shot","GPT-3.5"
"60",60,"4 into 20 goes 5 times.","Then what?","Mid","Low","False","Zero-shot","GPT-3.5"
"61",61,"Yeah, the 40 on top.","I like to call it a 40, right?  So the 8 stayed in the ones column and the 40 went over to the…","Mid","Low","False","Zero-shot","GPT-3.5"
"62",62,"I was showing them my way.","Okay.  Where is your formula for the parallelogram?","Mid","Low","False","Zero-shot","GPT-3.5"
"63",63,"Yes.  You have five-tenths.","No.  Pretend this isn’t there.  Do I have any tenths when I have –?","Mid","Low","False","Zero-shot","GPT-3.5"
"64",64,"I have 14.  Who has three times eight?","Three times eight.","Mid","Low","False","Zero-shot","GPT-3.5"
"65",65,"Round 2,875 to the nearest thousand.","Good.  All right.  Anybody have problems with that?  Student H, how about the next one?","Mid","Low","False","Zero-shot","GPT-3.5"
"66",66,"You cut it in half.","This way or this way?","Mid","High","False","Zero-shot","GPT-3.5"
"67",67,"Sometimes they go by thousands.","Yeah, and you know what, when we’re in decimals, because these aren’t even whole numbers, all of my ","Mid","Low","False","Zero-shot","GPT-3.5"
"68",68,"Will you write it on the board?","No.","Mid","Low","False","Zero-shot","GPT-3.5"
"69",69,"I know 30 plus 30.","30 plus 30?","Mid","Low","False","Zero-shot","GPT-3.5"
"70",70,"It’s asking you to do subtract.","How do you know that?","Mid","Mid","True","Zero-shot","GPT-3.5"
"71",71,"1,574 divided by 4.","What’s my first step to solve that division problem?","Mid","Low","False","Zero-shot","GPT-3.5"
"72",72,"If you have 15 and 3 circles.","Leave 15 here?","Mid","Low","False","Zero-shot","GPT-3.5"
"73",73,"The difference between the two numbers.","The difference between the –","Mid","Low","False","Zero-shot","GPT-3.5"
"74",74,"Yeah, that’s a whole.","That’s a whole.  That’s a whole  That’s a whole.  That’s a whole.","Mid","Low","False","Zero-shot","GPT-3.5"
"75",75,"Only in multiplication you need to see how many places there are before it, but in addition you don’","Only in multiplication do you need to count your places behind your decimal.  In addition you just h","Mid","Mid","True","Zero-shot","GPT-3.5"
"76",76,"This is 13 and this is 16.","How much, darling, is this right here?","Mid","Low","False","Zero-shot","GPT-3.5"
"77",77,"I did 56 and I could count 1, 2, 3, 4, 5, 6, 7, 8, 9, and so on, and then I got a remainder of – I g","All right, that’s fine.  So you’re just showing us how you solved the problem?","Mid","Mid","True","Zero-shot","GPT-3.5"
"78",78,"It’s going to be 8.","How do you know that?","Mid","Mid","True","Zero-shot","GPT-3.5"
"79",79,"I’m saying no, it’s meters.","Oh, sorry.  All right.  Let’s go on.  Number seven, Student M. Excuse me.","Mid","Low","False","Zero-shot","GPT-3.5"
"80",80,"Because there’s nothing on the dividend.","Divisor.  There’s not a decimal in the divisor, so I don’t have to move it over anywhere, okay.  So ","Mid","Low","False","Zero-shot","GPT-3.5"
"81",81,"And then the three eighths is adding – well, you added three eighths to the eight eighths to get it.","Okay.  Why do we call this an improper fraction again?  Why is it called improper?","Mid","High","False","Zero-shot","GPT-3.5"
"82",82,"Could we put it like this?","They have to have those answers, Student J.  If they don’t have that, then mark it wrong.  Number 18","Mid","Low","False","Zero-shot","GPT-3.5"
"83",83,"[He said 8 times 22].","He said 8 times 3.  He said 20 times 24.  He gave me – you gave me a factor.  Go ahead.","Mid","Low","False","Zero-shot","GPT-3.5"
"84",84,"It’s equal by 6.","So what does that mean?  It’s only got the—","Mid","Low","False","Zero-shot","GPT-3.5"
"85",85,"Three-thousand-five-hundred-twenty-six yards.","Okay.  Good job.  Nineteen, four yards or 13 feet.  Student?","Mid","Low","False","Zero-shot","GPT-3.5"
"86",86,"Because in every group there’s three circles.","Okay.  So, we have our four equal groups.  Now, shade in the group we originally circled, like, colo","Mid","Mid","True","Zero-shot","GPT-3.5"
"87",87,"I’ll just put it right there.","No, no, absolutely not, Student H.  This really about being organized.  Let me get a different erase","Mid","Low","False","Zero-shot","GPT-3.5"
"88",88,"6 becomes the thousandths place.  3 becomes the hundreds place. 5 becomes the ones place.","Mm-hmm.","Mid","Low","False","Zero-shot","GPT-3.5"
"89",89,"Each box contains 18 apples.","Good.  Each box – please write this down.  Each box contains 18 apples.  My third sentence is my que","Mid","High","False","Zero-shot","GPT-3.5"
"90",90,"On the top it’s round.","Does it have a curved one?","Mid","High","False","Zero-shot","GPT-3.5"
"91",91,"I could say 5 times 2 times 5 times 2.","Sweetie, how many do we have here?  How many cubes do we have in total?","Mid","Low","False","Zero-shot","GPT-3.5"
"92",92,"No, because you’re going to keep on going.","Because it doesn’t go into 10.  Right?","Mid","High","False","Zero-shot","GPT-3.5"
"93",93,"Like, after the V it would be –","After it would be six, yep.  Now, if an I comes after the V – and you always put a line across the t","Mid","Mid","True","Zero-shot","GPT-3.5"
"94",94,"G and T are both members of the high school ___ ___ team.  At practice they – sorry, at practice eac","Mm-hmm.","Mid","Low","False","Zero-shot","GPT-3.5"
"95",95,"I have 84.  Who has 11 times three?","Eleven time –","Mid","Low","False","Zero-shot","GPT-3.5"
"96",96,"Because it tells you the order of operation.","Very good.  Keep talking.","Mid","High","False","Zero-shot","GPT-3.5"
"97",97,"We need a bigger one, two of these together.","All right, turn it over. Two again.  It is.","Mid","Mid","True","Zero-shot","GPT-3.5"
"98",98,"A polygon has a closed shape.","Mm-hmm, a polygon is a closed shape.","Mid","Mid","True","Zero-shot","GPT-3.5"
"99",99,"This is the height for A.","I don’t know.  You tell me.","Mid","Low","False","Zero-shot","GPT-3.5"
"100",100,"Nine and eighty-five-hundredths.","Good.  Okay, five plus zero is five.  Nine plus nine is eighteen, carry my one.  And bring down my d","Mid","Low","False","Zero-shot","GPT-3.5"
"101",101,"It’s a faster way of doing addition.","Okay.  It’s a faster way to add.  So ultimately, when we multiply we’re looking at combining groups ","High","Low","False","Zero-shot","GPT-3.5"
"102",102,"Three fourths, one half, those thingies—","What do those thingies mean?","High","Low","False","Zero-shot","GPT-3.5"
"103",103,"Because there’s no – they’re all straight lines.","Very good.  Let’s zoom this in.  Your first reaction might be that this is a no, but if you look clo","High","Mid","False","Zero-shot","GPT-3.5"
"104",104,"Because you might get another nine.","I might, in my next eight rolls, roll another nine or an eight, so leaving this open here, there’s a","High","High","True","Zero-shot","GPT-3.5"
"105",105,"So two and one half?","There you go, okay.  Student O, let me help you.  Okay, there is one, because you are doing groups o","High","Mid","False","Zero-shot","GPT-3.5"
"106",106,"Wouldn’t it be a negative?","It’s not a negative number.  Uh-uh.  Negative number means you’ve gone beyond – you’ve gone below ze","High","Mid","False","Zero-shot","GPT-3.5"
"107",107,"Because it’s before addition.","What’s before addition?","High","Low","False","Zero-shot","GPT-3.5"
"108",108,"How many snowballs are there in all?","Excellent.  So you have 10 piles.  So the piles are the groups, right?","High","Mid","False","Zero-shot","GPT-3.5"
"109",109,"I was gonna ask you if you just count the, add the kilograms and the grams.","Well I would think you need to multiply yeah unless you’re going to add it five times. Why are you m","High","Mid","False","Zero-shot","GPT-3.5"
"110",110,"We’re doing 9 by 6 and we’re just putting it up.","Okay.  Why did you make the outside first?","High","Mid","False","Zero-shot","GPT-3.5"
"111",111,"Because of this right here, if you look at the other ones, these, they’re kind of like the same.  So","Kind of helps you visualize how many more you need?  Okay.  You think you can visualize it too?","High","High","True","Zero-shot","GPT-3.5"
"112",112,"You added more than you needed.","You added more than you needed.  I don’t know.  I just saw it on two or three people’s papers so I w","High","Low","False","Zero-shot","GPT-3.5"
"113",113,"16 ounces to a pound?","Right.  So 16 of these – 5 – how many pencils would make a pound if 5 if 1 ounce?","High","Low","False","Zero-shot","GPT-3.5"
"114",114,"Sophie has 8 stickers and she wants to give 2 to each of her friends.  How many of her friends will ","Okay.  What are the two pieces of information that you need? What two numbers are you going to be wo","High","High","True","Zero-shot","GPT-3.5"
"115",115,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay.  Does this give you times two or would it be half of that- -Susan Jones’ house, 87/100 times t","High","Low","False","Zero-shot","GPT-3.5"
"116",116,"You make the arrow again and then put H U.","Okay, good.  It doesn’t matter on a line which order the letters are in.  Is there something else I ","High","High","True","Zero-shot","GPT-3.5"
"117",117,"Is two eighths equal to one fourth?","Why don’t you look at one of these and try to figure it out. Two eighths.  Here’s eighths, right?  A","High","Low","False","Zero-shot","GPT-3.5"
"118",118,"Length, width, and height of a box.","Correct.  So don’t ask me, “I don’t get it.  What are dimensions?  Dimensions are the length, width,","High","Low","False","Zero-shot","GPT-3.5"
"119",119,"And the short side is the same.","The two short sides are the same?","High","High","True","Zero-shot","GPT-3.5"
"120",120,"26 million, 300 – wait, yeah, 354 – no, 50, 53.","53,000, uh-huh.  What’s the rest of it?","High","Low","False","Zero-shot","GPT-3.5"
"121",121,"You would have had like 2 wholes.  It should be 56 hundredths.","Okay, I’m sorry, I did it wrong.   All right, you are right. So let’s do this one again, I’m sorry. ","High","Mid","False","Zero-shot","GPT-3.5"
"122",122,"The one on the right is just not – like you don’t take eight of them.  You don’t make a whole.","The one on the right, you don’t take eight of them and you don’t make a whole?  Is that what you’re ","High","Mid","False","Zero-shot","GPT-3.5"
"123",123,"The angles are the same because it’s the same lines and length.","In an equilateral triangle, all the sides are the same, all the angles are the same, but an isoscele","High","Mid","False","Zero-shot","GPT-3.5"
"124",124,"I noticed that the more I went on in the game, that I could add it more mentally.","That’s a good point.  Did everyone hear what she said?  If you didn’t, eyes up here please, if you d","High","High","True","Zero-shot","GPT-3.5"
"125",125,"3, 5, 6, 9, 10.","Good.  So I’m going to use this fraction, my rules of divisibility to see which ones can help me red","High","High","True","Zero-shot","GPT-3.5"
"126",126,"Don’t you count it this way?","No.  You count it this way.  Try this way.  When I say hundredths, think of two places out, then fil","High","Low","False","Zero-shot","GPT-3.5"
"127",127,"We have one-third of his students like to play dodge ball.","Okay, one-third of his students like to play dodge ball.  Do we really care what they like to play?","High","Low","False","Zero-shot","GPT-3.5"
"128",128,"What’s your favorite food?","Mexican.  But if I just walked up to you and said, “Hey, Student A, Mexican.  Does that make sense?","High","Low","False","Zero-shot","GPT-3.5"
"129",129,"That 10 is half of 20 and –","Okay, 10 is half of 20.  And what did we already know about 10? What did we already know about when ","High","Low","False","Zero-shot","GPT-3.5"
"130",130,"Sixty-three divided by seven –","Oh, I’m so excited that you knew to say 63 first.  We say the number that’s in that little house, do","High","High","True","Zero-shot","GPT-3.5"
"131",131,"9 plus 5 is 4.","What you’re doing – what’s the term we use?","High","Low","False","Zero-shot","GPT-3.5"
"132",132,"What do you mean by explain your reasoning?  Don’t you mean explain why?","All right, explain why you came up with the answer you did, yes.  But reasoning also means the why, ","High","Mid","False","Zero-shot","GPT-3.5"
"133",133,"[She does], she has 0 and 75 –","She’s into – she actually has more, just over a whole number, or the whole number 1.  Yes, Student K","High","Mid","False","Zero-shot","GPT-3.5"
"134",134,"It’s a prime number.","It’s a prime number.  Why is it a prime number?","High","High","True","Zero-shot","GPT-3.5"
"135",135,"These prices are, like, $10.00.","Oh, so it’s gonna be really challenging.  But who does – how many people does it feed?","High","Low","False","Zero-shot","GPT-3.5"
"136",136,"Because there’s already a 4.","Already a 4, so we have a 2, then what?  A 4 here, then a 3 here.  I’m going to fill in our numbers ","High","Mid","False","Zero-shot","GPT-3.5"
"137",137,"Organize.  You used to have it up.","I know.  Definitely, I should put it back, don’t you think? Organized work.  Yes, Student J?","High","Mid","False","Zero-shot","GPT-3.5"
"138",138,"The denominator tells us how many there are in each rectangle, how much it says on the rectangle.","Student J, okay.  Can I recap what you said a little bit?  Did you mean the denominator down here, t","High","High","True","Zero-shot","GPT-3.5"
"139",139,"Because it’s 85 hundredths.","It does say 85 hundredths, but what if someone didn’t know how to read that?  How do we know that we","High","Mid","False","Zero-shot","GPT-3.5"
"140",140,"No, it means this is larger than this.  It can’t be larger than this.","The denominator has to be larger.  Right.  So how many groups of 18 are in 22?","High","Mid","False","Zero-shot","GPT-3.5"
"141",141,"Yeah, except for the one in the middle.","How many people agree with what Student L is saying?  How many people think these are polygons?  Han","High","High","True","Zero-shot","GPT-3.5"
"142",142,"That’s 100 and 10.","100 tens.  And then what do I do?","High","Mid","False","Zero-shot","GPT-3.5"
"143",143,"The length is how far it goes up and the width is how far it goes across?","Usually when you say the length, the longer side is the length and the width is how wide it is.  The","High","Mid","False","Zero-shot","GPT-3.5"
"144",144,"The numerator is bigger than the denominator.","The numerator is bigger than the denominator.  And we’re going to end class with that because that’s","High","Low","False","Zero-shot","GPT-3.5"
"145",145,"You could also do this.  Like if you have a finance like that and you know it’s big number.  You cou","Exactly.  And I love how Student J just said that.  He made a connection.  And if you were doing an ","High","High","True","Zero-shot","GPT-3.5"
"146",146,"What case is blue?  Blueberry?","What does it say on your key?  Look at your key.  You ready?","High","Low","False","Zero-shot","GPT-3.5"
"147",147,"Ethan gave two eighths of his collection to Ruby, so I just added one eighth to one eighth and one e","And what were you thinking with two eighths?","High","Low","False","Zero-shot","GPT-3.5"
"148",148,"14, 28, 42, 56, 70, 84, 98, 112, 126.","Very nice.  How did you know those?","High","High","True","Zero-shot","GPT-3.5"
"149",149,"Okay, that is one and two twelfths.","Ah, look at my picture.  I have my one whole with two twelfths hanging over.  So my box is not even ","High","High","True","Zero-shot","GPT-3.5"
"150",150,"Because they’re not equal.  So take them and –","So you’re going to pretend like it’s empty space?  Okay.","High","High","True","Zero-shot","GPT-3.5"
"151",1,"2 times 20 is 40.","Well, think about this.  What?","Low","Low","True","Few-shot","GPT-3.5"
"152",2,"Well, I don’t know how to explain it.","Go ahead and try.","Low","High","False","Few-shot","GPT-3.5"
"153",3,"Ready?  Set?  Go.  [Dice being thrown].  [Students working on game].","Don’t forget, we have addition and subtraction, also. Addition.  Subtraction.  Multiplication.  Divi","Low","Low","True","Few-shot","GPT-3.5"
"154",4,"The other is the 3.","Since we have a 4 right here, we know we can’t have what right here?","Low","Mid","False","Few-shot","GPT-3.5"
"155",5,"I know what I’m doing.","You can kind of have freedom on it.  I’m not telling you specifics. I’m gonna put your criteria up h","Low","Mid","False","Few-shot","GPT-3.5"
"156",6,"I did it like that.","That’s a lot of people.","Low","Low","True","Few-shot","GPT-3.5"
"157",7,"After you do eight, you do four, right?","What, honey?","Low","Low","True","Few-shot","GPT-3.5"
"158",8,"If we know how much the other players -","Yeah.","Low","Low","True","Few-shot","GPT-3.5"
"159",9,"I don’t know what you all was talking about.","And put the date on there. You fill in the date already he sure is. They told you it gonna be done e","Low","Low","True","Few-shot","GPT-3.5"
"160",10,"That’s what I’m going to do.","All right, guys.  Shh.  Shh.  Tonight, you’re going to work on practice book 22.4.  all of it.  All ","Low","Low","True","Few-shot","GPT-3.5"
"161",11,"List all of the factors of 96.","Student K?","Low","Mid","False","Few-shot","GPT-3.5"
"162",12,"I earned $245.00 in two weeks.  How much did I earn each day?","Student C?","Low","Mid","False","Few-shot","GPT-3.5"
"163",13,"An obtuse angle is more than 90 degrees.","Why don’t we put our pencils down and just do some brainstorming, and then we’ll go back through it?","Low","Mid","False","Few-shot","GPT-3.5"
"164",14,"4 hours and 5 minutes.","And we put a zero there.  Student Z, we put a zero there ‘cause it’s our first 5.  If you did it, go","Low","Low","True","Few-shot","GPT-3.5"
"165",15,"The same thing at the bottom?","Student D, multiply 12 times four.  Here.","Low","Mid","False","Few-shot","GPT-3.5"
"166",16,"I was writing let me see.","Parallel sides, right angles, squares, rhombus.","Low","Mid","False","Few-shot","GPT-3.5"
"167",17,"I didn’t get that.","Now this is – I’m saying this assuming that was your answer. That’s just an example.","Low","Mid","False","Few-shot","GPT-3.5"
"168",18,"I don’t remember that.","And when we played Close to 100, which strategy did we discover?  What do we try to make in the tens","Low","Mid","False","Few-shot","GPT-3.5"
"169",19,"Small number on top means it’s time to stop.  Borrow from the left.  It won’t be called theft.  Cros","Oh, I’m so excited.  Sixteen minus seven equals, Student D?","Low","Mid","False","Few-shot","GPT-3.5"
"170",20,"I’m doing the work. I’m doing the work on this.","So addition asks for a total and this says how many right. So I’m noticing the language as just not ","Low","Mid","False","Few-shot","GPT-3.5"
"171",21,"So you want us to go to number four?","12:20, and then all of a sudden you went to 1:00.  That’s not an hour.  That’s 40 minute.  So in ord","Low","Mid","False","Few-shot","GPT-3.5"
"172",22,"So, is this my number or –","He’s gonna finish rolling all the way across.  Keep going. You’re gonna roll the next two.  You all ","Low","Mid","False","Few-shot","GPT-3.5"
"173",23,"Do we do improper and a mixed number?","I like what I’m seeing.  How we doing?","Low","Mid","False","Few-shot","GPT-3.5"
"174",24,"It’s not a prime number,","What is 21? Seven times three, so that means 21 is?","Low","Mid","False","Few-shot","GPT-3.5"
"175",25,"Or from greatest to least.","Student J.","Low","Mid","False","Few-shot","GPT-3.5"
"176",26,"1 out of 3. I saw what is that? And another 1 out of 3.","And if you all want to have him actually build some of the ones after he finishes with that page you","Low","Low","True","Few-shot","GPT-3.5"
"177",27,"Why does it have a comma?","Read this number for me, Student K.","Low","Mid","False","Few-shot","GPT-3.5"
"178",28,"Wow, N is doing a good job.","I’m going to leave part of this as a template for you for your own paper.  We are going to take some","Low","Low","True","Few-shot","GPT-3.5"
"179",29,"How does that look like a 10?","All right, so now we have to do our coordinates and let’s put our parentheses in.  You will get to t","Low","Mid","False","Few-shot","GPT-3.5"
"180",30,"Say the multiplication tables for the number 8.","Ready, set, go.","Low","Low","True","Few-shot","GPT-3.5"
"181",31,"Oh, that’s what we’re doing.","And over here red, green.","Low","Low","True","Few-shot","GPT-3.5"
"182",32,"You subtract all of them.","What did I do to get the quotient?","Low","Mid","False","Few-shot","GPT-3.5"
"183",33,"He thinks it goes from one-half and it keeps on going until it gets to smaller pieces, smaller.  We’","So what do you need from me?","Low","Mid","False","Few-shot","GPT-3.5"
"184",34,"What did we get for number 12?","Yeah.","Low","Low","True","Few-shot","GPT-3.5"
"185",35,"The person who did the wrong one, they did 50 times 3 when they were supposed to do 50 times 24.","So I’m thinking that we need a way to keep track of our work, that everybody who’s having their prob","Low","Mid","False","Few-shot","GPT-3.5"
"186",36,"A number that can’t go lower–","What are the only two numbers that can go into a prime number, Student O?","Low","Mid","False","Few-shot","GPT-3.5"
"187",37,"Wait, what were the names?","But you’re going to have to think of the rule that will help that work because you’re going to have ","Low","Low","True","Few-shot","GPT-3.5"
"188",38,"The first step is 8 times 10.","Who can give me a story context for 18 times 14?  Just like we talked about here, 3 trees, 9 apples.","Low","Mid","False","Few-shot","GPT-3.5"
"189",39,"Because the base of it is a hexagon.","Student K?","Low","Mid","False","Few-shot","GPT-3.5"
"190",40,"I know some of it.","And we can also study the two multiplication problems, 11 times 11 and 11 times 12.  That’s a little","Low","Mid","False","Few-shot","GPT-3.5"
"191",41,"So you take away Tino’s and you multiply Val’s?","Every single time that we did – we did this times – well, we changed this up so much.  When we did t","Low","Mid","False","Few-shot","GPT-3.5"
"192",42,"130 – I think it’s 130.","So what’s the question?","Low","Mid","False","Few-shot","GPT-3.5"
"193",43,"Area of a parallelogram is base times height.","Area of a, and I’m sorry, my drawings aren’t too great today. Especially that one.","Low","Mid","False","Few-shot","GPT-3.5"
"194",44,"Is this like this?  Is it multiplied by [four]?","Hmm?","Low","Mid","False","Few-shot","GPT-3.5"
"195",45,"[As soon as] she puts 300, two times.","Okay, so this, Student N, about trying to keep track of your pieces.  In the array here, I’m gonna s","Low","High","False","Few-shot","GPT-3.5"
"196",46,"The rule is to add three to the input.","I don’t hearing sharing at this table yet.  You have to share. Let’s go.  Quickly.  You got by 11.  ","Low","Low","True","Few-shot","GPT-3.5"
"197",47,"I got 36 cubic centimeters.","Number five, Student M?","Low","Mid","False","Few-shot","GPT-3.5"
"198",48,"Subtract the whole numbers.  That’ll give you 1.  I think you multiply the fraction –","Wait a minute.","Low","Mid","False","Few-shot","GPT-3.5"
"199",49,"The weeks in a year.","What else should you round?","Low","Low","True","Few-shot","GPT-3.5"
