"","comment_id","text","human_emotions","model_emotions","exact_match","Technique","model"
"56","ee4tgim","i got a bump and a bald spot. i feel dumb <3","disappointment","embarrassment","False","Zero-shot","GPT-3.5"
"57","ee8djmg","I just don't want to see them shame themselves, and actually show their worth and virtue instead of showing themsleves to be a walking sexual object","disappointment","disapproval","False","Zero-shot","GPT-3.5"
"58","edo61x4","She refuses to go to therapy.","disappointment","disapproval","False","Zero-shot","GPT-3.5"
"59","eepmnfn","""I didn't learn anything from the last short clip video on twitter that cut in mid way through an confrontation"" Oh look a new one!","disappointment","annoyance","False","Zero-shot","GPT-3.5"
"60","ee87p6d","No no no. They only have no worth if they don’t support [RELIGION].","disappointment","disapproval","False","Zero-shot","GPT-3.5"
"61","efbv26x","I don't judge anyone with this stuff trust me I can hold it close to my face so I could make tea!","disapproval","amusement","False","Zero-shot","GPT-3.5"
"62","ee4092e","Not possible to change da truth","disapproval","realization","False","Zero-shot","GPT-3.5"
"63","ed4x0fr","I guess if you haven't been on the sub for a while you don't understand that boycott was synonymous with incels and the alt-right","disapproval","disapproval","True","Zero-shot","GPT-3.5"
"64","ed5lhu6","I'm just reminding everyone. you're not helping the situation by being pedantic","disapproval","annoyance","False","Zero-shot","GPT-3.5"
"65","edjwu3f","Not surprised...he has ZERO interest in finding a job and living like a responsible adult...","disapproval","disapproval","True","Zero-shot","GPT-3.5"
"66","ed7e5o4","People are very complicated.","disgust","confusion","False","Zero-shot","GPT-3.5"
"67","ef4e3pl","Plus, thinking you know someone that you don't just weirds them out. It must be disturbing having people flock around your persona, ffs.","disgust","disgust, annoyance","False","Zero-shot","GPT-3.5"
"68","eecgjh1","You’re right, republicans are worse because they have nukes.","disgust","anger","False","Zero-shot","GPT-3.5"
"69","ee391m4","They’re disgusting people inside and out","disgust","disgust","True","Zero-shot","GPT-3.5"
"70","eeij4x1","creepy, the only way to make it more creepy is to leave it on her bed stand table to find it in the morning. ","disgust","neutral","False","Zero-shot","GPT-3.5"
"71","ef54otk","feeling like im not normal and that im shameful and wrong and other people telling me those things are what have done this to me","embarrassment","sadness","False","Zero-shot","GPT-3.5"
"72","ee69j31","Why am I crying alone in my room rn","embarrassment","sadness","False","Zero-shot","GPT-3.5"
"73","eeheckb","For fucking real. That is not normal behavior for anyone over the age of 15 and it's totally cringey","embarrassment","disgust, embarrassment","False","Zero-shot","GPT-3.5"
"74","eeqp51w","What no one in the history of time has ever recovered from a bad first date? Hard pass on this anecdotal evidence.","embarrassment","disapproval","False","Zero-shot","GPT-3.5"
"75","een8gbg","What? I’m regular lurker here that just deiced to comment.","embarrassment","confusion","False","Zero-shot","GPT-3.5"
"76","edgbks8","I used to work nights at a 24-hour Walmart, “interesting” is a damn tame word for it.","excitement","amusement","False","Zero-shot","GPT-3.5"
"77","eej4lag","Married at first sight!","excitement","excitement","True","Zero-shot","GPT-3.5"
"78","ee0wceb","I just watched the video and I don’t think that was his sister.","excitement","confusion","False","Zero-shot","GPT-3.5"
"79","edut0kq","I can’t wait!!!","excitement","excitement","True","Zero-shot","GPT-3.5"
"80","ed3w91f","Airport is crazy busy. T2 specifically. Crazy crazy. Get there earlier if dropping bags... Virgin even had temp checkin desks on the footpath outside.","excitement","neutral","False","Zero-shot","GPT-3.5"
"81","edg64zs","Super creepy. And leaving the note is out of line","fear","disgust, disapproval","False","Zero-shot","GPT-3.5"
"82","ee15az7","This is the noise I make in my girlfriend’s ear while y’all are still scared to moan","fear","disgust","False","Zero-shot","GPT-3.5"
"83","eeekf0w","[NAME] is there anything more depressing than being in a leafs gdt when the leafs are losing.","fear","sadness","False","Zero-shot","GPT-3.5"
"84","edv19pi","I would be creeped out.","fear","fear","True","Zero-shot","GPT-3.5"
"85","ed1i50s","i did, but it was at 3 am before i went to bed, so i’m gonna cheat and count it as 2018 LOL.","fear","amusement","False","Zero-shot","GPT-3.5"
"86","edeml2x","thank you!!","gratitude","gratitude","True","Zero-shot","GPT-3.5"
"87","ed4xm4z","Thank you!","gratitude","gratitude","True","Zero-shot","GPT-3.5"
"88","eexi9i3","I will absolutely tell him this. Thank you. Congrats for making it out of the fog yourself.","gratitude","gratitude, pride","False","Zero-shot","GPT-3.5"
"89","ef34tza","OMG she's BYEsexual. Sorry I had to.","gratitude","amusement","False","Zero-shot","GPT-3.5"
"90","eff0eat","The real [NAME] is always in the comments. Thank you internet stranger","gratitude","gratitude","True","Zero-shot","GPT-3.5"
"91","eepbsjd",">ribs My condolences on your loss.","grief","grief","True","Zero-shot","GPT-3.5"
"92","edztfzy","If my mom were still alive, she'd be so pissed at [NAME] being in this cast.","grief","anger, sadness","False","Zero-shot","GPT-3.5"
"93","edgcyz2","Sadly I don't think even half the people who watched the game are gonna hear about that.","grief","sadness","False","Zero-shot","GPT-3.5"
"94","ed2jvh5","that's a pretty cool box art. Shame the beetle's hand isn't actually wrapped around the stick though.","grief","disappointment","False","Zero-shot","GPT-3.5"
"95","edqb2x4","I had a similar fear last month after exceeding the two hours in a Homebase car park.","grief","fear","False","Zero-shot","GPT-3.5"
"96","edi3s90","She's why [NAME] doesn't want memes lol, she's a goldmine","joy","amusement","False","Zero-shot","GPT-3.5"
"97","efdpd4d","I like you both.","joy","love","False","Zero-shot","GPT-3.5"
"98","edlmoh8","So happy for your strong stance and to help him on his way out of your life.","joy","joy","True","Zero-shot","GPT-3.5"
"99","ef8guz9","Weird how they shoehorned s character from an ongoing tv show into Celebrity Big Brothter. Glad they got rid of him after one episode though.","joy","disapproval, relief","False","Zero-shot","GPT-3.5"
"100","eewq7jc","Oh the joys of Marine Corps boot camp!!","joy","joy","True","Zero-shot","GPT-3.5"
"101","edw87bp","I like you. Yes, you.","love","love","True","Zero-shot","GPT-3.5"
"102","eenytll","The Iowa State Cyclones are my favorite college basketball team.","love","admiration","False","Zero-shot","GPT-3.5"
"103","eeippeu","I actually currently have a girlfriend and I love her. It's just that those past situations gave me trust issues for life I guess.","love","love, sadness","False","Zero-shot","GPT-3.5"
"104","effnsfn","love how nobody decides to run over to him and help","love","disapproval","False","Zero-shot","GPT-3.5"
"105","eeww960","Love Galore pt.2 💯🔥🔥","love","love, excitement","False","Zero-shot","GPT-3.5"
"106","ef6vqef","Yeah that's where I think the problem lies. It's that I don't really want to be open to others.","nervousness","disapproval","False","Zero-shot","GPT-3.5"
"107","eddzfda","Your age difference is incredibly creepy.","nervousness","disapproval","False","Zero-shot","GPT-3.5"
"108","eevcg8b","Run the addresses through the property records. If the mailing address of owner ain't local, they its a lie. ","nervousness","neutral","False","Zero-shot","GPT-3.5"
"109","ef63by4","Really? Hey mods, I have this pain in my lower back just about _here_.","nervousness","annoyance","False","Zero-shot","GPT-3.5"
"110","edsbo8z","i just came to make sure she was safe cause she said her parents gone. It can be dangerous ya know..","nervousness","neutral","False","Zero-shot","GPT-3.5"
"111","edjrvep","Oh, Boy. You into phrenology too.","neutral","amusement","False","Zero-shot","GPT-3.5"
"112","edy3gfp",">provide a credible source. You first. For each claim.","neutral","annoyance","False","Zero-shot","GPT-3.5"
"113","ef5x9tq","Try this on anyone blue belt or above in bjj. Spoiler: it wont work","neutral","disappointment","False","Zero-shot","GPT-3.5"
"114","eees7gz","This is his worst season since his rookie year","neutral","disappointment","False","Zero-shot","GPT-3.5"
"115","eeiov4c","Do all you can. Really everything is put in perspective, my work seems very unimportant right now. ","neutral","realization","False","Zero-shot","GPT-3.5"
"116","eet5inc","Mauston and Monticello were the beginning and end of my hope","optimism","sadness","False","Zero-shot","GPT-3.5"
"117","edw9nki","I hope you aren’t saying that there is no co-relation between imperialism/colonialism and standards of living in the West, in this case Britain.","optimism","anger","False","Zero-shot","GPT-3.5"
"118","efagykj","On time stat doesn't matter for anything meaningful, I wouldn't waste time contacting support over it, or worrying about it for any reason really.","optimism","disapproval","False","Zero-shot","GPT-3.5"
"119","edjfbst","His time will come for that","optimism","optimism","True","Zero-shot","GPT-3.5"
"120","ee1cohh","This is the beginning of a comeback for the ages.","optimism","excitement","False","Zero-shot","GPT-3.5"
"121","eei22ry","You become assertive and take back your share of the power and control over your life. Go get No More Mr. Nice Guy.","pride","neutral","False","Zero-shot","GPT-3.5"
"122","eei8sfs","Congratulations! I know it’s a hard thing to quit, I’m proud of you. ","pride","admiration, pride","False","Zero-shot","GPT-3.5"
"123","edby4pf","Normally yeah but that was my friends first match ever and to encounter such a killer, who was running noed too is kinda disheartening for him","pride","disappointment","False","Zero-shot","GPT-3.5"
"124","eeh0dk9","I never get sick of seeing me and my dad go absolutely fucking wild in that video","pride","joy","False","Zero-shot","GPT-3.5"
"125","eevqtgr","I personally am very proud to be a vegetable. Corn, to be exact. Corn pride y'all","pride","pride","True","Zero-shot","GPT-3.5"
"126","eeveqjo","I already posted this 🤔🤷🏻‍♂️","realization","confusion","False","Zero-shot","GPT-3.5"
"127","ee7no40","That's because it's called LATCH here and most people just call them ""car seat anchors"". Maybe that's why...","realization","annoyance","False","Zero-shot","GPT-3.5"
"128","edg3atf","You gotta watch with subtitles IMO. The dubbed English version looks and sounds ridiculous.","realization","disapproval","False","Zero-shot","GPT-3.5"
"129","ee5e2ch","You mean anti-intelligent","realization","disapproval","False","Zero-shot","GPT-3.5"
"130","ef6qj8f","At first I thought this was talking about physical piracy (like stealing cargo ships) but now I understand.","realization","realization","True","Zero-shot","GPT-3.5"
"131","eeypa8q","you’re gonna do just fine","relief","optimism","False","Zero-shot","GPT-3.5"
"132","edqc1yz","This is really helpful to point out!!","relief","admiration","False","Zero-shot","GPT-3.5"
"133","eevmzgw","Oh good. It's nice to see confirmation that you're actually trolling, because no one is that stupid ","relief","anger, disapproval","False","Zero-shot","GPT-3.5"
"134","ednx4v9","The papers listed at might be of help.","relief","curiosity","False","Zero-shot","GPT-3.5"
"135","efeuhyx","well that's no creepy in the slightest","relief","neutral","False","Zero-shot","GPT-3.5"
"136","eeegsoo","Sorry, I wish I was wrong, but Mathews is over rated","remorse","disapproval","False","Zero-shot","GPT-3.5"
"137","ed6l9pt","Sorry guys, I went a little far... You can read my apology post here.","remorse","remorse","True","Zero-shot","GPT-3.5"
"138","edpdm3q","dude, your mom is a fuck-nugget, i’m so sorry you’re dealing with this ","remorse","anger","False","Zero-shot","GPT-3.5"
"139","ee9uhdl","I apologised an very long time ago as I was wrong at this point you are beating a dead horse","remorse","annoyance","False","Zero-shot","GPT-3.5"
"140","eehpovo","WTH?! Sorry, but you might need better friends! That is wrong. So wrong. ","remorse","anger, disapproval","False","Zero-shot","GPT-3.5"
"141","efamnsp","i also cried","sadness","sadness","True","Zero-shot","GPT-3.5"
"142","eewgfox","Hm so sad. Am I supposed to feel bad for you because you don't look like [NAME] phelps? Btw, he's on steroids no doubt","sadness","disapproval, disgust","False","Zero-shot","GPT-3.5"
"143","edwv5o1","Me me big sad.","sadness","sadness","True","Zero-shot","GPT-3.5"
"144","eezq59k","Friend of the younger sister of girl who was killed. She told me it was a bad acid trip. Very sad, family is holding a vigil tomorrow night. ","sadness","sadness","True","Zero-shot","GPT-3.5"
"145","eeupb8r","His misogyny is disturbing.","sadness","disgust","False","Zero-shot","GPT-3.5"
"146","ef45pxs","Surprised to not see Three Arrows on the list when he went from no videos at all to over 100,000 subscribers just in the course of 2018.","surprise","surprise","True","Zero-shot","GPT-3.5"
"147","ee4p8ut","Considering how many of this involves hiding bottles, it wouldn’t surprise me.","surprise","surprise","True","Zero-shot","GPT-3.5"
"148","edzoy70","That’s a wonderful meaningless word salad","surprise","admiration","False","Zero-shot","GPT-3.5"
"149","ed5es57","I can't believe you won!","surprise","surprise","True","Zero-shot","GPT-3.5"
"150","ecztf18","I used to build a ramp and jump over other kids on my bike ala [NAME]... I was amazed at the time.","surprise","admiration","False","Zero-shot","GPT-3.5"
"151","efeke1r","[NAME] damn it [NAME].","anger, annoyance","anger","False","Few-shot","GPT-3.5"
"152","eegefud","My husband and I are expecting a little boy. We will refuse to do the whole ""man up"" thing. No toxic masculinity here hopefully lol","desire, optimism","pride","False","Few-shot","GPT-3.5"
"153","ef2jexa","Yeah I’ve been watching these videos and they are great. Really well done.","admiration, gratitude","admiration","False","Few-shot","GPT-3.5"
"154","ed97gce","Our love is like, a violent game between children baby.","approval, love","disgust","False","Few-shot","GPT-3.5"
"155","eejam6j","This episode also had the segment where a paralized [NAME] communicates by farting. So, yes it is the worst. Lisa Goes Gaga is a close second.","anger, disgust","disgust","False","Few-shot","GPT-3.5"
"156","edgyr8b","Good timing with the two breweries having just opened up. Gotta check them out when I'm in that neck of the woods again.","admiration","excitement","False","Few-shot","GPT-3.5"
"157","ed7uin2","Super cool to see","admiration","admiration","True","Few-shot","GPT-3.5"
"158","efbxjom","This was a beautiful moment for the FT coming together","admiration","admiration","True","Few-shot","GPT-3.5"
"159","eev528h","Must've been some damn good fries...","admiration","admiration","True","Few-shot","GPT-3.5"
"160","ee3ggkk","Mr. Met is a legend! Outrageous. Now... If you wanna talk about hateworthy mascots... The Phanatic fits the bill.","admiration","admiration, anger","False","Few-shot","GPT-3.5"
"161","eee8os5","Great, petty revenge instead of making your GF happy by removing [NAME] from her life, nice job!","admiration","anger","False","Few-shot","GPT-3.5"
"162","eev3ial","The US version of The Office isn’t even the best version of The Office, never mind the best comedy ever.","amusement","disapproval","False","Few-shot","GPT-3.5"
"163","ed0p0gi","> Mother wasn't amused and I was forced to smile and bare it Wow, I would hate taking nude family portraits","amusement","amusement","True","Few-shot","GPT-3.5"
"164","edj7ya6","[NAME] got a serious case of the giggles today.","amusement","amusement","True","Few-shot","GPT-3.5"
"165","ee3dm5e","Busy night for you lol","amusement","amusement","True","Few-shot","GPT-3.5"
"166","ef0zbtx","because it’s funny","amusement","amusement","True","Few-shot","GPT-3.5"
"167","edg9z3r","This video is funny but every time I watch it I get so mad at the guys filming and their belittling comments!","amusement","amusement, anger","False","Few-shot","GPT-3.5"
"168","ee64dsq","It's a statistically slightly worse ICR, take that as you will.","anger","disappointment","False","Few-shot","GPT-3.5"
"169","eedvd5c","Those inflated monopoly prices go back into Ontario coffers for services like roads and schools! How dare you question them. /s","anger","anger","True","Few-shot","GPT-3.5"
"170","edslv30","“What the FUCK is this [NAME], explain!”","anger","anger","True","Few-shot","GPT-3.5"
"171","eesmsbe","Shithole universe i mean.","anger","disgust","False","Few-shot","GPT-3.5"
"172","eeblnfc","How dare you disparage a 3D printed JV riding a goddamn raptor","anger","anger, disgust","False","Few-shot","GPT-3.5"
"173","edlvsnk","Fuck isn't it nice to have a [NAME] on the team?","anger","amusement","False","Few-shot","GPT-3.5"
"174","ef6tx1q","This was literally me!","annoyance","amusement","False","Few-shot","GPT-3.5"
"175","edalg04","And how often do you hear about feminists fighting for these women’s rights? Never. Feminists are cowards.","annoyance","anger, disapproval","False","Few-shot","GPT-3.5"
"176","edrf7wa","What a poor woman who only wanted to tell someone what to do.","annoyance","neutral","False","Few-shot","GPT-3.5"
"177","ee3ns48","I’ve seen 62 to 8 in 12 hours up north. Weather is crazy stuff.","annoyance","surprise","False","Few-shot","GPT-3.5"
"178","edfk31g","Why don’t people just call the cops and give them the video?","annoyance","confusion","False","Few-shot","GPT-3.5"
"179","edyjuwo","What? Shut up?","annoyance","anger","False","Few-shot","GPT-3.5"
"180","efdbuxe","I like to answer ""CALLER 7, YOU ARE LIVE ON THE AIR!""","approval","amusement","False","Few-shot","GPT-3.5"
"181","ef16p4j","35-55 a week. no health restrictions, just eat what I feel like","approval","neutral","False","Few-shot","GPT-3.5"
"182","eeah494","Im having a lot of fun, please continue the show","approval","joy","False","Few-shot","GPT-3.5"
"183","eezz1zn","hes doing it for his kid","approval","caring","False","Few-shot","GPT-3.5"
"184","ee2a3l1","I I'm so honored","approval","admiration","False","Few-shot","GPT-3.5"
"185","ednicm9","TBH I think they would've been better without the hot dog","approval","disapproval","False","Few-shot","GPT-3.5"
"186","efe691k","That's the opposite of a bad thing.","caring","surprise","False","Few-shot","GPT-3.5"
"187","ee2yef5","Play something else and come back later. You’re burning yourself out","caring","neutral","False","Few-shot","GPT-3.5"
"188","ef2ssjo","“No, you cannot get better” LOL","caring","amusement","False","Few-shot","GPT-3.5"
"189","edswvrb","At the end of the day you still have to let him know though. There is nothing embarrassing about frugality!","caring","approval","False","Few-shot","GPT-3.5"
"190","eebuqgf","He burnt out. Give it some time. Other option is he never really cared, but I find that unlikely. Also maybe life just happened.","caring","neutral","False","Few-shot","GPT-3.5"
"191","eeq2jyu","If everyone else can figure this out, then I don't see why it's so implausible for the US.","confusion","confusion","True","Few-shot","GPT-3.5"
"192","ef0t4sq","Alicorn then maybe?","confusion","curiosity","False","Few-shot","GPT-3.5"
"193","edijcfx","Ghostbusters 2: ghost-bustier ?","confusion","amusement","False","Few-shot","GPT-3.5"
"194","edsxcax","Kinda like how he wants to “out” kids?","confusion","disapproval","False","Few-shot","GPT-3.5"
"195","ee87aji","I am confusion.","confusion","confusion","True","Few-shot","GPT-3.5"
"196","edkd7sr","That was a joke? And a joke you've been waiting to use for 10+ years?","curiosity","amusement","False","Few-shot","GPT-3.5"
"197","edi37q6","What is everybody obsession with trading away young players in this sub?","curiosity","confusion","False","Few-shot","GPT-3.5"
"198","edt3kh1","Whaaaat? I thought it was a perfectly normal childhood disease that posed no threat whatsoever! Why is she scared?","curiosity","surprise, confusion, fear","False","Few-shot","GPT-3.5"
"199","ed58cxg","I am for socialised health care but how exactly would that solve long wait times?","curiosity","curiosity","True","Few-shot","GPT-3.5"
"200","ee34lij","I have an honest question for you sir. Wouldn't a person who went through that hell be more humble and understanding than someone who didn't?","curiosity","curiosity","True","Few-shot","GPT-3.5"
"201","ede0g63","Goodnight and good luck.","desire","optimism","False","Few-shot","GPT-3.5"
"202","edfrinq","I wish I was there lol","desire","desire, amusement","False","Few-shot","GPT-3.5"
"203","edz4hwv","What did he get help with?","desire","curiosity","False","Few-shot","GPT-3.5"
"204","edv6zg7","You should eat real cake today too!","desire","approval","False","Few-shot","GPT-3.5"
"205","edfh7lm","I can watch test cricket, this would be no problems. Honestly though I'm annoyed I missed it, hopefully there's a re run","desire","annoyance","False","Few-shot","GPT-3.5"
"206","ee4tgim","i got a bump and a bald spot. i feel dumb <3","disappointment","embarrassment","False","Few-shot","GPT-3.5"
"207","ee8djmg","I just don't want to see them shame themselves, and actually show their worth and virtue instead of showing themsleves to be a walking sexual object","disappointment","disgust","False","Few-shot","GPT-3.5"
"208","edo61x4","She refuses to go to therapy.","disappointment","disapproval","False","Few-shot","GPT-3.5"
"209","eepmnfn","""I didn't learn anything from the last short clip video on twitter that cut in mid way through an confrontation"" Oh look a new one!","disappointment","annoyance","False","Few-shot","GPT-3.5"
"210","ee87p6d","No no no. They only have no worth if they don’t support [RELIGION].","disappointment","disapproval","False","Few-shot","GPT-3.5"
"211","efbv26x","I don't judge anyone with this stuff trust me I can hold it close to my face so I could make tea!","disapproval","amusement","False","Few-shot","GPT-3.5"
"212","ee4092e","Not possible to change da truth","disapproval","disapproval","True","Few-shot","GPT-3.5"
"213","ed4x0fr","I guess if you haven't been on the sub for a while you don't understand that boycott was synonymous with incels and the alt-right","disapproval","disapproval","True","Few-shot","GPT-3.5"
"214","ed5lhu6","I'm just reminding everyone. you're not helping the situation by being pedantic","disapproval","anger","False","Few-shot","GPT-3.5"
"215","edjwu3f","Not surprised...he has ZERO interest in finding a job and living like a responsible adult...","disapproval","disapproval","True","Few-shot","GPT-3.5"
"216","ed7e5o4","People are very complicated.","disgust","confusion","False","Few-shot","GPT-3.5"
"217","ef4e3pl","Plus, thinking you know someone that you don't just weirds them out. It must be disturbing having people flock around your persona, ffs.","disgust","disgust","True","Few-shot","GPT-3.5"
"218","eecgjh1","You’re right, republicans are worse because they have nukes.","disgust","anger","False","Few-shot","GPT-3.5"
"219","ee391m4","They’re disgusting people inside and out","disgust","disgust","True","Few-shot","GPT-3.5"
"220","eeij4x1","creepy, the only way to make it more creepy is to leave it on her bed stand table to find it in the morning. ","disgust","neutral","False","Few-shot","GPT-3.5"
"221","ef54otk","feeling like im not normal and that im shameful and wrong and other people telling me those things are what have done this to me","embarrassment","sadness","False","Few-shot","GPT-3.5"
"222","ee69j31","Why am I crying alone in my room rn","embarrassment","sadness","False","Few-shot","GPT-3.5"
"223","eeheckb","For fucking real. That is not normal behavior for anyone over the age of 15 and it's totally cringey","embarrassment","disgust, embarrassment","False","Few-shot","GPT-3.5"
"224","eeqp51w","What no one in the history of time has ever recovered from a bad first date? Hard pass on this anecdotal evidence.","embarrassment","disapproval","False","Few-shot","GPT-3.5"
"225","een8gbg","What? I’m regular lurker here that just deiced to comment.","embarrassment","surprise","False","Few-shot","GPT-3.5"
"226","edgbks8","I used to work nights at a 24-hour Walmart, “interesting” is a damn tame word for it.","excitement","amusement","False","Few-shot","GPT-3.5"
"227","eej4lag","Married at first sight!","excitement","excitement","True","Few-shot","GPT-3.5"
"228","ee0wceb","I just watched the video and I don’t think that was his sister.","excitement","neutral","False","Few-shot","GPT-3.5"
"229","edut0kq","I can’t wait!!!","excitement","excitement","True","Few-shot","GPT-3.5"
"230","ed3w91f","Airport is crazy busy. T2 specifically. Crazy crazy. Get there earlier if dropping bags... Virgin even had temp checkin desks on the footpath outside.","excitement","neutral, amusement","False","Few-shot","GPT-3.5"
