"","sentence_idx","sentence","ground_truth","prediction","correct","Technique","model"
"28",28,"if the people do not try to do anythii agree the this tropic sentence.",1,1,"True","Zero-shot","GPT-3.5"
"29",29,"They may impove the teolodge and attact to buy by many people for their indenifies.",1,1,"True","Zero-shot","GPT-3.5"
"30",30,"And doesn't matter if teh person who takes the riks, has like result all the things he or she has in",1,1,"True","Zero-shot","GPT-3.5"
"31",31,"because we are watching movie earn something.",1,2,"False","Zero-shot","GPT-3.5"
"32",32,"For example , in 2006 world cup form Germany, as many conch wanna term work.",1,1,"True","Zero-shot","GPT-3.5"
"33",33,"you have 30 typically an effective response will contain a minimum you will be satisfiy culture expi",1,1,"True","Zero-shot","GPT-3.5"
"34",34,"For example, now the earth have some problems to warm atomother.",1,2,"False","Zero-shot","GPT-3.5"
"35",35,"They aren't corporate of their work eventually.",1,2,"False","Zero-shot","GPT-3.5"
"36",36,"They don`t have the same p More they often don`t have responsability like work to win money and to l",1,2,"False","Zero-shot","GPT-3.5"
"37",37,"Because of he think back to his happen which one is make worst to him and he try to fix that behavio",1,2,"False","Zero-shot","GPT-3.5"
"38",38,"When they down to the forest then produced fire.",1,2,"False","Zero-shot","GPT-3.5"
"39",39,"Consequently, I agree the statement with regard to three reasons: effecting of view , face to face w",2,2,"True","Zero-shot","GPT-3.5"
"40",40,"This casts doubt in the reading passage's assertion that fluoride prevents dental cavities.",2,4,"False","Zero-shot","GPT-3.5"
"41",41,"That seems why people live for.",2,2,"True","Zero-shot","GPT-3.5"
"42",42,"If I have one sujest.",2,2,"True","Zero-shot","GPT-3.5"
"43",43,"However, Billgate developed people's lives more comfortable than previos circumstance.",2,2,"True","Zero-shot","GPT-3.5"
"44",44,"I am sure that most of the kid knew that this was not the way their parents teached them, because th",2,2,"True","Zero-shot","GPT-3.5"
"45",45,"This because their knowledge may not be worthy for the future, staying in one positon doesn't allow ",2,2,"True","Zero-shot","GPT-3.5"
"46",46,"One example the this is the hambuger , when they advertice looks so delicios, and when you tested is",2,2,"True","Zero-shot","GPT-3.5"
"47",47,"For example a doctor does not need to know how to construct a building because he doesnt need to kno",2,2,"True","Zero-shot","GPT-3.5"
"48",48,"Maybe I can not enjoy in real meaning and I am tired.",2,2,"True","Zero-shot","GPT-3.5"
"49",49,"The disability of doing the things that desired make olders unhappy.",2,2,"True","Zero-shot","GPT-3.5"
"50",50,"It is dangerous for the plants and corps and changes rivers too acidic for living fish and other ani",2,2,"True","Zero-shot","GPT-3.5"
"51",51,"the school teachers there the one who take the future of youg genaration so we have to give them to ",2,2,"True","Zero-shot","GPT-3.5"
"52",52,"It is a pollutiont in the air so sulfur dioxide can effect to breathing problems and various respira",2,2,"True","Zero-shot","GPT-3.5"
"53",53,"for example when we talk about speed they must anderstand why it is dengures is beteer than if they ",2,1,"False","Zero-shot","GPT-3.5"
"54",54,"He or she can help me in languages, introducing specific beautiful places, what the special food in ",2,2,"True","Zero-shot","GPT-3.5"
"55",55,"It is better to have a very good understanding knowledege of many academic because it makes you broa",2,2,"True","Zero-shot","GPT-3.5"
"56",56,"Moreover before the oil and gas gone scientist will make new car that go by electricity or by sun li",2,2,"True","Zero-shot","GPT-3.5"
"57",57,"More informations how can we get it is the important things.",2,2,"True","Zero-shot","GPT-3.5"
"58",58,"A person with broad knowlege will help him to renovate.",2,3,"False","Zero-shot","GPT-3.5"
"59",59,"In all this specialize parts we need for the development in the future, wommens and mens with a good",2,2,"True","Zero-shot","GPT-3.5"
"60",60,"Help others and make we all live in a confortable home.",2,2,"True","Zero-shot","GPT-3.5"
"61",61,"They have limit to way which have meaning and function like a word.",2,2,"True","Zero-shot","GPT-3.5"
"62",62,"Because there is wroth visiting space.",2,2,"True","Zero-shot","GPT-3.5"
"63",63,"So the school try learning the students a bit in every science exist.",2,1,"False","Zero-shot","GPT-3.5"
"64",64,"But according a recent investgation showed that older people think staying at home is suit for them.",2,2,"True","Zero-shot","GPT-3.5"
"65",65,"Second, the high cost of drug testing finally lead the cost of the unit drug cost being higher than ",2,2,"True","Zero-shot","GPT-3.5"
"66",66,"I think that the biggest reason is devised environment compared with past.",2,2,"True","Zero-shot","GPT-3.5"
"67",67,"That means the best perfomance to do the job.",2,2,"True","Zero-shot","GPT-3.5"
"68",68,"But the practices may work for business that sell products in local.",2,3,"False","Zero-shot","GPT-3.5"
"69",69,"In the twenty years, they also can give us the better cars to use less resources-consumed transporta",2,2,"True","Zero-shot","GPT-3.5"
"70",70,"However, I want to go to the U.S.A that I can study and life in my dream's contury, I want to have m",2,1,"False","Zero-shot","GPT-3.5"
"71",71,"Examples: If the good skill people do some thing wrong ways and they got good respond like thife , r",2,2,"True","Zero-shot","GPT-3.5"
"72",72,"from now on, people always get more than two jobs in his or her life, becauce of the compator.",2,2,"True","Zero-shot","GPT-3.5"
"73",73,"And also no one have a special knowledge without the broad knoeledge, in the other words : "" Person ",2,2,"True","Zero-shot","GPT-3.5"
"74",74,"if you want a product you give create a beautiful image around it if you want sell it.",2,2,"True","Zero-shot","GPT-3.5"
"75",75,"For an example that my spcific subject is art and I leard the differents sujecta about in a siosen c",2,2,"True","Zero-shot","GPT-3.5"
"76",76,"we can see young people working over countries or working for others with tools like telephones or i",2,2,"True","Zero-shot","GPT-3.5"
"77",77,"As an example, if I am doing a design work, let say, a shopping center, I will firstly use the metho",3,3,"True","Zero-shot","GPT-3.5"
"78",78,"Also the animal population got better and they recovered really good after the fire.",3,3,"True","Zero-shot","GPT-3.5"
"79",79,"Then, I thought it was so grotesc, becouse human ate a human, I was so supraised.",3,2,"False","Zero-shot","GPT-3.5"
"80",80,"their goal is reduce the products' expenses, hence the quality of products is getting worsen.",3,2,"False","Zero-shot","GPT-3.5"
"81",81,"If they are a family who likes to go places, they would prefer a car against other vehicles.",3,3,"True","Zero-shot","GPT-3.5"
"82",82,"This is obvious from the fact that when the mind is not clear and free, man cannot involve himself c",3,3,"True","Zero-shot","GPT-3.5"
"83",83,"The human mind and the ability to imagin and to creat have no limits.",3,3,"True","Zero-shot","GPT-3.5"
"84",84,"After retirement they may not be having a lot of money to enjoy their life in the way they would lik",3,3,"True","Zero-shot","GPT-3.5"
"85",85,"Since I liked enough areas inside, I bought the car a few days later.",3,3,"True","Zero-shot","GPT-3.5"
"86",86,"I strongly believe that in twenty years there will be fewer cars in use than there are today because",3,2,"False","Zero-shot","GPT-3.5"
"87",87,"While, according to listening passage it seems fair for people te increase the tax price because the",3,2,"False","Zero-shot","GPT-3.5"
"88",88,"They woulnd not able to get time so often to do so, when they are l young.",3,2,"False","Zero-shot","GPT-3.5"
"89",89,"After a official training course, we helped the patients to bath, talked with the elder people who l",3,3,"True","Zero-shot","GPT-3.5"
"90",90,"I think that Student's job is study very hard.",3,2,"False","Zero-shot","GPT-3.5"
"91",91,"So lets not lose hope and let the scientists do the job, but i think being in a traffic jam is a str",3,2,"False","Zero-shot","GPT-3.5"
"92",92,"So even the government is expecting the increase in the use of four wheeler.",3,3,"True","Zero-shot","GPT-3.5"
"93",93,"i would have a variety of answers subjective to every person field of interest.",3,2,"False","Zero-shot","GPT-3.5"
"94",94,"Some people can encounter with people we have no idea about.",3,2,"False","Zero-shot","GPT-3.5"
"95",95,"However, what if they just work for the field which they already know how to do well, they might fee",3,3,"True","Zero-shot","GPT-3.5"
"96",96,"For example, if the city says that 8am~9 am is the most busiest time, than worker would argues that ",3,3,"True","Zero-shot","GPT-3.5"
"97",97,"Other one is a gambler which means that people always try the new things and take risks.",3,3,"True","Zero-shot","GPT-3.5"
"98",98,"These kind of fish can't live so long in water that contain salt.",3,3,"True","Zero-shot","GPT-3.5"
"99",99,"For exampil, if some one need to talk to me or to know where am i, he can call me any time .",3,2,"False","Zero-shot","GPT-3.5"
"100",100,"Thus, in my view the points made in the lecture surely challenges the specific details or the points",3,2,"False","Zero-shot","GPT-3.5"
"101",101,"Now the market is occupied by lots of cars with varying comforts .",3,4,"False","Zero-shot","GPT-3.5"
"102",102,"so, it is important to student",3,2,"False","Zero-shot","GPT-3.5"
"103",103,"Also, the biggest problem is that many people can cheating in this system.",3,2,"False","Zero-shot","GPT-3.5"
"104",104,"To be old is an awful thing, that everyone has to hide, and not to speak of.",3,3,"True","Zero-shot","GPT-3.5"
"105",105,"When a talk about reaserch I mean ask people that had the product like friends, family or go to foru",3,2,"False","Zero-shot","GPT-3.5"
"106",106,"These are enjoyable tasks to make your mind set be looking forward to the various experiences.",3,2,"False","Zero-shot","GPT-3.5"
"107",107,"After this effort, many companies in the world startet actions to get this ecocertify.",3,2,"False","Zero-shot","GPT-3.5"
"108",108,"Indeed, day after day, we would certainly feel bored to do always the same things, and we would not ",3,3,"True","Zero-shot","GPT-3.5"
"109",109,"When your father says, ""You should cut the grass in the front yard."" if you have property in your mi",3,2,"False","Zero-shot","GPT-3.5"
"110",110,"The ability to identify opportunity in the market and promote either the product or my new project w",3,3,"True","Zero-shot","GPT-3.5"
"111",111,"I remeber the story, when a person was in a difficult circumstances and he really needed the help of",3,3,"True","Zero-shot","GPT-3.5"
"112",112,"In early industry, a lot of warker worked together.",3,3,"True","Zero-shot","GPT-3.5"
"113",113,"Actually, he think about that people can hide their brain activity and they will be able to cheat on",3,2,"False","Zero-shot","GPT-3.5"
"114",114,"and people has it.",3,2,"False","Zero-shot","GPT-3.5"
"115",115,"However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.",4,3,"False","Zero-shot","GPT-3.5"
"116",116,"why did this happen?",4,4,"True","Zero-shot","GPT-3.5"
"117",117,"Firstly, the population of the world is increasing exponentially .",4,4,"True","Zero-shot","GPT-3.5"
"118",118,"This is like a process of distilling water - what remains is truly pure, isn't it?",4,4,"True","Zero-shot","GPT-3.5"
"119",119,"For example banks have many very specialized departements.",4,3,"False","Zero-shot","GPT-3.5"
"120",120,"We human beings tend to systematise and catergorise all of our experiences.",4,3,"False","Zero-shot","GPT-3.5"
"121",121,"Let me show an example.",4,4,"True","Zero-shot","GPT-3.5"
"122",122,"What does it mean?",4,4,"True","Zero-shot","GPT-3.5"
"123",123,"We can tell that cars are one of the most important things we have nowadays.",4,3,"False","Zero-shot","GPT-3.5"
"124",124,"A lot of energy is spent trying to cope with the demands of the workplace and school, leaving very l",4,4,"True","Zero-shot","GPT-3.5"
"125",125,"But it's for sure that it's always a problem for us to identify what is more important for us.",4,3,"False","Zero-shot","GPT-3.5"
"126",126,"Everybody gets a car as soon as possible, not only because it is cheap.",4,3,"False","Zero-shot","GPT-3.5"
"127",127,"On the other hand, although in Turkey the public transportation is getting developed especially in t",4,3,"False","Zero-shot","GPT-3.5"
"128",128,"in the other hand if you become succesful you can earn lots of money like yahoo`s designers .",4,2,"False","Zero-shot","GPT-3.5"
"129",129,"When a new theory is presented, the only way for the student to trust the theory and to be able to u",4,3,"False","Zero-shot","GPT-3.5"
"130",130,"I hope those things I learned will help me in the future.",4,4,"True","Zero-shot","GPT-3.5"
"131",131,"But it is very important to get a reputable one, after all you are paying loads of money for their s",4,3,"False","Zero-shot","GPT-3.5"
"132",132,"There are several reasons for that.",4,4,"True","Zero-shot","GPT-3.5"
"133",133,"Billions of peple use it every day.",4,3,"False","Zero-shot","GPT-3.5"
"134",134,"By myself, I can take my own rythm",4,3,"False","Zero-shot","GPT-3.5"
"135",135,"Take the example of Bangalore city in India.",4,4,"True","Zero-shot","GPT-3.5"
"136",136,"People who are trying to get into good university study by themselves everyday while I play around w",4,2,"False","Zero-shot","GPT-3.5"
"137",137,"it is ture.",4,3,"False","Zero-shot","GPT-3.5"
"138",138,"However, I firmly believe that students have to learn broad knowledge of many academic subjects.",4,4,"True","Zero-shot","GPT-3.5"
"139",139,"But that does not mean that I do not respect and admire the others..",4,4,"True","Zero-shot","GPT-3.5"
"140",140,"especially in japan, students must choose their discipline before they enter the universities.",4,3,"False","Zero-shot","GPT-3.5"
"141",141,"It was the interpretation of that information that we had to master.",4,4,"True","Zero-shot","GPT-3.5"
"142",142,"Not that bungee jumping is something that every young person wants to do but even if he wanted to do",4,4,"True","Zero-shot","GPT-3.5"
"143",143,"He would never want his business or company to be stagnant.",4,4,"True","Zero-shot","GPT-3.5"
"144",144,"No one knows exactly what will be happening twenty years from now.",4,4,"True","Zero-shot","GPT-3.5"
"145",145,"This is clearly seen in the way many young people organize the collection of funds or books to help ",4,3,"False","Zero-shot","GPT-3.5"
"146",146,"A student who chooses to study at university has to become well acquainted with different methods of",4,4,"True","Zero-shot","GPT-3.5"
"147",147,"The United States is a business country and most of Americans are businessmen.",4,3,"False","Zero-shot","GPT-3.5"
"148",148,"Because threr are many facilities.",4,3,"False","Zero-shot","GPT-3.5"
"149",149,"It was more fun to explore somewhere new outside the places we knew well.",4,4,"True","Zero-shot","GPT-3.5"
"150",150,"Two main reasons why youngsters are more selfish and care less about their families and everyone aro",4,3,"False","Zero-shot","GPT-3.5"
"151",1,"if someone is n't know eating is very important for growth bons and brian or general for body it is ",1,3,"False","Few-shot","GPT-3.5"
"152",2,"It is rather than to give them strong medicins tnl them.",1,3,"False","Few-shot","GPT-3.5"
"153",3,"It; s ture also teachers are not expet.",1,2,"False","Few-shot","GPT-3.5"
"154",4,"The listening part give usinformation Vulcan which was found on Mars and also there was found a bact",1,3,"False","Few-shot","GPT-3.5"
"155",5,"in the fact the matter that alot of acadmic subject can not be used seperatley.",1,3,"False","Few-shot","GPT-3.5"
"156",6,"the Gem cuts, the Stars kines , th Nizecks, the Earths sheakes, and the practeses cinteces .",1,3,"False","Few-shot","GPT-3.5"
"157",7,"For example , ideas some phisician in treatment the same disease different .",1,3,"False","Few-shot","GPT-3.5"
"158",8,"because if you are want know somebody is anything?",1,2,"False","Few-shot","GPT-3.5"
"159",9,"Another reason is the person should have a lot of knowledge in diffrent subjects is to know how to c",1,2,"False","Few-shot","GPT-3.5"
"160",10,"those three factors contribute to the ""loss of interest"" fro; younf",1,3,"False","Few-shot","GPT-3.5"
"161",11,"cost heru mo.",1,2,"False","Few-shot","GPT-3.5"
"162",12,"Next to, can you know what the happend in the world and when you learn fact can you learn your kids ",1,1,"True","Few-shot","GPT-3.5"
"163",13,"Throughts our lives needs talk about our familys.",1,2,"False","Few-shot","GPT-3.5"
"164",14,"students can gots the goods marks than they clear the concepts of the evertopics.",1,3,"False","Few-shot","GPT-3.5"
"165",15,"The second points is about the evidence, according the the passage the evidence that associates the ",1,3,"False","Few-shot","GPT-3.5"
"166",16,"However the lecture, the scientiests opposite that asteroid is recovered.",1,3,"False","Few-shot","GPT-3.5"
"167",17,"Study subjects reltensip betwne another jope and demonstrate andarstanding the career or jope.",1,2,"False","Few-shot","GPT-3.5"
"168",18,"Reasons is pay for them and teach the more than other institute.",1,3,"False","Few-shot","GPT-3.5"
"169",19,"the thing i exactly now i never will never stop .",1,3,"False","Few-shot","GPT-3.5"
"170",20,"This priedo not enough to evaluate the student.",1,3,"False","Few-shot","GPT-3.5"
"171",21,"A yonger part when you hasn't big problem and older part that slowly increase inside you when you be",1,2,"False","Few-shot","GPT-3.5"
"172",22,"The last one is the proposed limit on menhadenhresting could mean the reduction of huThis propleme i",1,3,"False","Few-shot","GPT-3.5"
"173",23,"So the thinking will be ghanged more than the people who live in that day they will try to but ther ",1,2,"False","Few-shot","GPT-3.5"
"174",24,"The speaks says some drivers always driver with talk on phones.",1,3,"False","Few-shot","GPT-3.5"
"175",25,"whlie you will be help each other of work together after gratuation from university.",1,3,"False","Few-shot","GPT-3.5"
"176",26,"you have to teach your child since he or she was antel they graw up.",1,3,"False","Few-shot","GPT-3.5"
"177",27,"you image the time , that you are deep in television with loud laugh.",1,3,"False","Few-shot","GPT-3.5"
"178",28,"if the people do not try to do anythii agree the this tropic sentence.",1,2,"False","Few-shot","GPT-3.5"
"179",29,"They may impove the teolodge and attact to buy by many people for their indenifies.",1,3,"False","Few-shot","GPT-3.5"
"180",30,"And doesn't matter if teh person who takes the riks, has like result all the things he or she has in",1,3,"False","Few-shot","GPT-3.5"
"181",31,"because we are watching movie earn something.",1,3,"False","Few-shot","GPT-3.5"
"182",32,"For example , in 2006 world cup form Germany, as many conch wanna term work.",1,2,"False","Few-shot","GPT-3.5"
"183",33,"you have 30 typically an effective response will contain a minimum you will be satisfiy culture expi",1,2,"False","Few-shot","GPT-3.5"
"184",34,"For example, now the earth have some problems to warm atomother.",1,3,"False","Few-shot","GPT-3.5"
"185",35,"They aren't corporate of their work eventually.",1,3,"False","Few-shot","GPT-3.5"
"186",36,"They don`t have the same p More they often don`t have responsability like work to win money and to l",1,3,"False","Few-shot","GPT-3.5"
"187",37,"Because of he think back to his happen which one is make worst to him and he try to fix that behavio",1,3,"False","Few-shot","GPT-3.5"
"188",38,"When they down to the forest then produced fire.",1,3,"False","Few-shot","GPT-3.5"
"189",39,"Consequently, I agree the statement with regard to three reasons: effecting of view , face to face w",2,3,"False","Few-shot","GPT-3.5"
"190",40,"This casts doubt in the reading passage's assertion that fluoride prevents dental cavities.",2,4,"False","Few-shot","GPT-3.5"
"191",41,"That seems why people live for.",2,3,"False","Few-shot","GPT-3.5"
"192",42,"If I have one sujest.",2,3,"False","Few-shot","GPT-3.5"
"193",43,"However, Billgate developed people's lives more comfortable than previos circumstance.",2,3,"False","Few-shot","GPT-3.5"
"194",44,"I am sure that most of the kid knew that this was not the way their parents teached them, because th",2,3,"False","Few-shot","GPT-3.5"
"195",45,"This because their knowledge may not be worthy for the future, staying in one positon doesn't allow ",2,3,"False","Few-shot","GPT-3.5"
"196",46,"One example the this is the hambuger , when they advertice looks so delicios, and when you tested is",2,3,"False","Few-shot","GPT-3.5"
"197",47,"For example a doctor does not need to know how to construct a building because he doesnt need to kno",2,2,"True","Few-shot","GPT-3.5"
"198",48,"Maybe I can not enjoy in real meaning and I am tired.",2,3,"False","Few-shot","GPT-3.5"
"199",49,"The disability of doing the things that desired make olders unhappy.",2,3,"False","Few-shot","GPT-3.5"
"200",50,"It is dangerous for the plants and corps and changes rivers too acidic for living fish and other ani",2,3,"False","Few-shot","GPT-3.5"
"201",51,"the school teachers there the one who take the future of youg genaration so we have to give them to ",2,3,"False","Few-shot","GPT-3.5"
"202",52,"It is a pollutiont in the air so sulfur dioxide can effect to breathing problems and various respira",2,3,"False","Few-shot","GPT-3.5"
"203",53,"for example when we talk about speed they must anderstand why it is dengures is beteer than if they ",2,3,"False","Few-shot","GPT-3.5"
"204",54,"He or she can help me in languages, introducing specific beautiful places, what the special food in ",2,3,"False","Few-shot","GPT-3.5"
"205",55,"It is better to have a very good understanding knowledege of many academic because it makes you broa",2,3,"False","Few-shot","GPT-3.5"
"206",56,"Moreover before the oil and gas gone scientist will make new car that go by electricity or by sun li",2,3,"False","Few-shot","GPT-3.5"
"207",57,"More informations how can we get it is the important things.",2,2,"True","Few-shot","GPT-3.5"
"208",58,"A person with broad knowlege will help him to renovate.",2,3,"False","Few-shot","GPT-3.5"
"209",59,"In all this specialize parts we need for the development in the future, wommens and mens with a good",2,3,"False","Few-shot","GPT-3.5"
"210",60,"Help others and make we all live in a confortable home.",2,3,"False","Few-shot","GPT-3.5"
"211",61,"They have limit to way which have meaning and function like a word.",2,3,"False","Few-shot","GPT-3.5"
"212",62,"Because there is wroth visiting space.",2,3,"False","Few-shot","GPT-3.5"
"213",63,"So the school try learning the students a bit in every science exist.",2,3,"False","Few-shot","GPT-3.5"
"214",64,"But according a recent investgation showed that older people think staying at home is suit for them.",2,3,"False","Few-shot","GPT-3.5"
"215",65,"Second, the high cost of drug testing finally lead the cost of the unit drug cost being higher than ",2,3,"False","Few-shot","GPT-3.5"
"216",66,"I think that the biggest reason is devised environment compared with past.",2,3,"False","Few-shot","GPT-3.5"
"217",67,"That means the best perfomance to do the job.",2,3,"False","Few-shot","GPT-3.5"
"218",68,"But the practices may work for business that sell products in local.",2,3,"False","Few-shot","GPT-3.5"
"219",69,"In the twenty years, they also can give us the better cars to use less resources-consumed transporta",2,3,"False","Few-shot","GPT-3.5"
"220",70,"However, I want to go to the U.S.A that I can study and life in my dream's contury, I want to have m",2,3,"False","Few-shot","GPT-3.5"
"221",71,"Examples: If the good skill people do some thing wrong ways and they got good respond like thife , r",2,2,"True","Few-shot","GPT-3.5"
"222",72,"from now on, people always get more than two jobs in his or her life, becauce of the compator.",2,3,"False","Few-shot","GPT-3.5"
"223",73,"And also no one have a special knowledge without the broad knoeledge, in the other words : "" Person ",2,3,"False","Few-shot","GPT-3.5"
"224",74,"if you want a product you give create a beautiful image around it if you want sell it.",2,3,"False","Few-shot","GPT-3.5"
"225",75,"For an example that my spcific subject is art and I leard the differents sujecta about in a siosen c",2,2,"True","Few-shot","GPT-3.5"
"226",76,"we can see young people working over countries or working for others with tools like telephones or i",2,3,"False","Few-shot","GPT-3.5"
"227",77,"As an example, if I am doing a design work, let say, a shopping center, I will firstly use the metho",3,3,"True","Few-shot","GPT-3.5"
"228",78,"Also the animal population got better and they recovered really good after the fire.",3,3,"True","Few-shot","GPT-3.5"
"229",79,"Then, I thought it was so grotesc, becouse human ate a human, I was so supraised.",3,3,"True","Few-shot","GPT-3.5"
"230",80,"their goal is reduce the products' expenses, hence the quality of products is getting worsen.",3,3,"True","Few-shot","GPT-3.5"
"231",81,"If they are a family who likes to go places, they would prefer a car against other vehicles.",3,4,"False","Few-shot","GPT-3.5"
"232",82,"This is obvious from the fact that when the mind is not clear and free, man cannot involve himself c",3,4,"False","Few-shot","GPT-3.5"
"233",83,"The human mind and the ability to imagin and to creat have no limits.",3,3,"True","Few-shot","GPT-3.5"
"234",84,"After retirement they may not be having a lot of money to enjoy their life in the way they would lik",3,4,"False","Few-shot","GPT-3.5"
"235",85,"Since I liked enough areas inside, I bought the car a few days later.",3,4,"False","Few-shot","GPT-3.5"
"236",86,"I strongly believe that in twenty years there will be fewer cars in use than there are today because",3,3,"True","Few-shot","GPT-3.5"
"237",87,"While, according to listening passage it seems fair for people te increase the tax price because the",3,3,"True","Few-shot","GPT-3.5"
"238",88,"They woulnd not able to get time so often to do so, when they are l young.",3,3,"True","Few-shot","GPT-3.5"
"239",89,"After a official training course, we helped the patients to bath, talked with the elder people who l",3,4,"False","Few-shot","GPT-3.5"
"240",90,"I think that Student's job is study very hard.",3,3,"True","Few-shot","GPT-3.5"
"241",91,"So lets not lose hope and let the scientists do the job, but i think being in a traffic jam is a str",3,3,"True","Few-shot","GPT-3.5"
"242",92,"So even the government is expecting the increase in the use of four wheeler.",3,4,"False","Few-shot","GPT-3.5"
"243",93,"i would have a variety of answers subjective to every person field of interest.",3,3,"True","Few-shot","GPT-3.5"
"244",94,"Some people can encounter with people we have no idea about.",3,3,"True","Few-shot","GPT-3.5"
"245",95,"However, what if they just work for the field which they already know how to do well, they might fee",3,4,"False","Few-shot","GPT-3.5"
"246",96,"For example, if the city says that 8am~9 am is the most busiest time, than worker would argues that ",3,3,"True","Few-shot","GPT-3.5"
"247",97,"Other one is a gambler which means that people always try the new things and take risks.",3,3,"True","Few-shot","GPT-3.5"
"248",98,"These kind of fish can't live so long in water that contain salt.",3,3,"True","Few-shot","GPT-3.5"
"249",99,"For exampil, if some one need to talk to me or to know where am i, he can call me any time .",3,3,"True","Few-shot","GPT-3.5"
"250",100,"Thus, in my view the points made in the lecture surely challenges the specific details or the points",3,3,"True","Few-shot","GPT-3.5"
"251",101,"Now the market is occupied by lots of cars with varying comforts .",3,4,"False","Few-shot","GPT-3.5"
"252",102,"so, it is important to student",3,3,"True","Few-shot","GPT-3.5"
"253",103,"Also, the biggest problem is that many people can cheating in this system.",3,3,"True","Few-shot","GPT-3.5"
"254",104,"To be old is an awful thing, that everyone has to hide, and not to speak of.",3,4,"False","Few-shot","GPT-3.5"
"255",105,"When a talk about reaserch I mean ask people that had the product like friends, family or go to foru",3,3,"True","Few-shot","GPT-3.5"
"256",106,"These are enjoyable tasks to make your mind set be looking forward to the various experiences.",3,3,"True","Few-shot","GPT-3.5"
"257",107,"After this effort, many companies in the world startet actions to get this ecocertify.",3,3,"True","Few-shot","GPT-3.5"
"258",108,"Indeed, day after day, we would certainly feel bored to do always the same things, and we would not ",3,3,"True","Few-shot","GPT-3.5"
"259",109,"When your father says, ""You should cut the grass in the front yard."" if you have property in your mi",3,3,"True","Few-shot","GPT-3.5"
"260",110,"The ability to identify opportunity in the market and promote either the product or my new project w",3,4,"False","Few-shot","GPT-3.5"
"261",111,"I remeber the story, when a person was in a difficult circumstances and he really needed the help of",3,3,"True","Few-shot","GPT-3.5"
"262",112,"In early industry, a lot of warker worked together.",3,3,"True","Few-shot","GPT-3.5"
"263",113,"Actually, he think about that people can hide their brain activity and they will be able to cheat on",3,3,"True","Few-shot","GPT-3.5"
"264",114,"and people has it.",3,3,"True","Few-shot","GPT-3.5"
"265",115,"However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.",4,3,"False","Few-shot","GPT-3.5"
"266",116,"why did this happen?",4,4,"True","Few-shot","GPT-3.5"
