Annotator,ID,Text,Label
groundtruth,25,"When a new theory is presented, the only way for the student to trust the theory and to be able to use it fluently, would be to know how the theory was derived in the first place.",4
groundtruth,26,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
groundtruth,27,When they down to the forest then produced fire.,1
groundtruth,28,It was more fun to explore somewhere new outside the places we knew well.,4
groundtruth,29,"In early industry, a lot of warker worked together.",3
groundtruth,30,Two main reasons why youngsters are more selfish and care less about their families and everyone around them today are their parents and lack of education given in this direction.,4
groundtruth,31,For an example that my spcific subject is art and I leard the differents sujecta about in a siosen class.,2
groundtruth,32,The United States is a business country and most of Americans are businessmen.,4
groundtruth,33,Because threr are many facilities.,4
groundtruth,34,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
groundtruth,35,"They don`t have the same p More they often don`t have responsability like work to win money and to live in good conditions, keep their children...",1
groundtruth,36,A student who chooses to study at university has to become well acquainted with different methods of expanding current ideas and concepts.,4
groundtruth,37,"For example, now the earth have some problems to warm atomother.",1
groundtruth,38,if you want a product you give create a beautiful image around it if you want sell it.,2
groundtruth,39,They aren't corporate of their work eventually.,1
groundtruth,40,we can see young people working over countries or working for others with tools like telephones or internet even if they look they spend their time just for themselves by being whole day in their room.,2
A1,1,"However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.",4
A1,2,It was more fun to explore somewhere new outside the places we knew well.,4
A1,3,So the school try learning the students a bit in every science exist.,1
A1,4,After retirement they may not be having a lot of money to enjoy their life in the way they would like to.,3
A1,5,"On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.",4
A1,6,Throughts our lives needs talk about our familys.,1
A1,7,if you want a product you give create a beautiful image around it if you want sell it.,2
A1,8,Because there is wroth visiting space.,1
A1,9,A person with broad knowlege will help him to renovate.,2
A1,10,the school teachers there the one who take the future of youg genaration so we have to give them to get the better knowledge.,1
A1,11,"Then, I thought it was so grotesc, becouse human ate a human, I was so supraised.",2
A1,12,"For example, if the city says that 8am~9 am is the most busiest time, than worker would argues that they drive a bit later",3
A1,13,"By myself, I can take my own rythm",4
A1,14,So the thinking will be ghanged more than the people who live in that day they will try to but ther thinking on the life to make the peple see it and like it .,2
A1,15,A yonger part when you hasn't big problem and older part that slowly increase inside you when you became a people with family and with other interes form when he was young when the problem could be only the school or the girlfriend or other little proble respect the proble that you know when you became older.,1
A1,16,"When your father says, ""You should cut the grass in the front yard."" if you have property in your mind, you will do that with happy.",3
A1,17,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
A1,18,"In early industry, a lot of warker worked together.",3
A1,19,"While, according to listening passage it seems fair for people te increase the tax price because they will be able to save money for other taxes they pay.",3
A1,20,Reasons is pay for them and teach the more than other institute.,1
A1,21,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
A1,22,But according a recent investgation showed that older people think staying at home is suit for them.,2
A1,23,"This because their knowledge may not be worthy for the future, staying in one positon doesn't allow to go ahead and setting new goals motivates more them for their lifes.",2
A1,24,Other one is a gambler which means that people always try the new things and take risks.,3
A1,25,"When a new theory is presented, the only way for the student to trust the theory and to be able to use it fluently, would be to know how the theory was derived in the first place.",4
A1,26,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
A1,27,When they down to the forest then produced fire.,2
A1,28,It was more fun to explore somewhere new outside the places we knew well.,4
A1,29,"In early industry, a lot of warker worked together.",3
A1,30,Two main reasons why youngsters are more selfish and care less about their families and everyone around them today are their parents and lack of education given in this direction.,4
A1,31,For an example that my spcific subject is art and I leard the differents sujecta about in a siosen class.,1
A1,32,The United States is a business country and most of Americans are businessmen.,4
A1,33,Because threr are many facilities.,2
A1,34,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
A1,35,"They don`t have the same p More they often don`t have responsability like work to win money and to live in good conditions, keep their children...",1
A1,36,A student who chooses to study at university has to become well acquainted with different methods of expanding current ideas and concepts.,3
A1,37,"For example, now the earth have some problems to warm atomother.",2
A1,38,if you want a product you give create a beautiful image around it if you want sell it.,2
A1,39,They aren't corporate of their work eventually.,1
A1,40,we can see young people working over countries or working for others with tools like telephones or internet even if they look they spend their time just for themselves by being whole day in their room.,2
A2,1,"However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.",4
A2,2,It was more fun to explore somewhere new outside the places we knew well.,4
A2,3,So the school try learning the students a bit in every science exist.,2
A2,4,After retirement they may not be having a lot of money to enjoy their life in the way they would like to.,2
A2,5,"On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.",4
A2,6,Throughts our lives needs talk about our familys.,1
A2,7,if you want a product you give create a beautiful image around it if you want sell it.,2
A2,8,Because there is wroth visiting space.,2
A2,9,A person with broad knowlege will help him to renovate.,2
A2,10,the school teachers there the one who take the future of youg genaration so we have to give them to get the better knowledge.,2
A2,11,"Then, I thought it was so grotesc, becouse human ate a human, I was so supraised.",3
A2,12,"For example, if the city says that 8am~9 am is the most busiest time, than worker would argues that they drive a bit later",3
A2,13,"By myself, I can take my own rythm",4
A2,14,So the thinking will be ghanged more than the people who live in that day they will try to but ther thinking on the life to make the peple see it and like it .,1
A2,15,A yonger part when you hasn't big problem and older part that slowly increase inside you when you became a people with family and with other interes form when he was young when the problem could be only the school or the girlfriend or other little proble respect the proble that you know when you became older.,1
A2,16,"When your father says, ""You should cut the grass in the front yard."" if you have property in your mind, you will do that with happy.",3
A2,17,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
A2,18,"In early industry, a lot of warker worked together.",3
A2,19,"While, according to listening passage it seems fair for people te increase the tax price because they will be able to save money for other taxes they pay.",3
A2,20,Reasons is pay for them and teach the more than other institute.,1
A2,21,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
A2,22,But according a recent investgation showed that older people think staying at home is suit for them.,2
A2,23,"This because their knowledge may not be worthy for the future, staying in one positon doesn't allow to go ahead and setting new goals motivates more them for their lifes.",3
A2,24,Other one is a gambler which means that people always try the new things and take risks.,3
A2,25,"When a new theory is presented, the only way for the student to trust the theory and to be able to use it fluently, would be to know how the theory was derived in the first place.",4
A2,26,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
A2,27,When they down to the forest then produced fire.,1
A2,28,It was more fun to explore somewhere new outside the places we knew well.,4
A2,29,"In early industry, a lot of warker worked together.",3
A2,30,Two main reasons why youngsters are more selfish and care less about their families and everyone around them today are their parents and lack of education given in this direction.,4
A2,31,For an example that my spcific subject is art and I leard the differents sujecta about in a siosen class.,2
A2,32,The United States is a business country and most of Americans are businessmen.,4
A2,33,Because threr are many facilities.,4
A2,34,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
A2,35,"They don`t have the same p More they often don`t have responsability like work to win money and to live in good conditions, keep their children...",1
A2,36,A student who chooses to study at university has to become well acquainted with different methods of expanding current ideas and concepts.,4
A2,37,"For example, now the earth have some problems to warm atomother.",1
A2,38,if you want a product you give create a beautiful image around it if you want sell it.,2
A2,39,They aren't corporate of their work eventually.,2
A2,40,we can see young people working over countries or working for others with tools like telephones or internet even if they look they spend their time just for themselves by being whole day in their room.,2
